Component,Coef_BoundaryStrength,SE_BoundaryStrength,pval_BoundaryStrength,AIC,BIC,LLF
Mean_PCA_1,-0.2260835711913627,0.08860605548222861,0.010724218963388467,,,-174.33228763975637
Mean_PCA_2,0.07849706268122128,0.09084310829481855,0.3875357839700213,,,-177.13565789014422
Mean_PCA_3,-0.04788286158810201,0.09131772525424689,0.6000319861202316,,,-177.3633516410863
Mean_PCA_4,0.06644036184304068,0.09112194720381707,0.4659180071227812,,,-177.24694875919067
Mean_PCA_5,0.0790179931323444,0.09065398478085432,0.3834026719588549,,,-177.12703644487976
