PCA,video,event_index,within_mean,across_mean,z,p,n_pairs
Mean_PCA_1,12 years_6m.mp4,2,-0.391973875780913,-0.3535573762268326,-0.18943872874699733,0.97,3
Mean_PCA_1,12 years_6m.mp4,3,-0.03863976738643194,-0.05790613114294481,0.1654232965272094,0.8899999999999999,21
Mean_PCA_1,12 years_6m.mp4,4,0.8643440721632665,0.5617530852093184,2.0466981229917636,0.0,1
Mean_PCA_1,12 years_6m.mp4,5,0.0541755601741301,0.2919217153355194,-0.6289230304540748,0.9259999999999999,1
Mean_PCA_1,12 years_6m.mp4,6,-0.054517079038487605,0.11883721806338517,-1.4285689871540983,0.15600000000000003,15
Mean_PCA_1,12 years_6m.mp4,7,0.11206633006481392,-0.10929399472221249,0.7397054689051387,0.524,6
Mean_PCA_1,back to the future_6m.mp4,2,-0.13865409002721024,-0.22679614910962323,0.6447986635869379,0.48799999999999977,10
Mean_PCA_1,back to the future_6m.mp4,3,-0.0965744575009507,-0.07523534012573578,-0.15820900576613184,0.872,15
Mean_PCA_1,back to the future_6m.mp4,4,-0.10923499010249625,-0.01917340664315133,-0.879183977276077,0.364,28
Mean_PCA_1,back to the future_6m.mp4,6,1.0,-0.3207192736727531,2.093909323980948,0.0,1
Mean_PCA_1,back to the future_6m.mp4,7,0.1086837962403688,0.2131216049266427,-2.169933566221453,0.0,1
Mean_PCA_1,Movie Task-c4,4,0.4170564285461099,0.3480801903627296,0.3996422119333347,0.926,1
Mean_PCA_1,Movie Task-c4,5,0.13683486382674437,-0.027333620578236194,0.6077049305994282,0.5479999999999998,6
Mean_PCA_1,Movie Task-c4,6,0.03180075452044576,0.105359756630361,-0.38467199871926133,0.7440000000000001,15
Mean_PCA_1,Movie Task-c4,7,-0.11163642092244037,0.30216537487708717,-1.6591127874268954,0.15,3
Mean_PCA_1,Movie Task-c4,9,-0.09425656566080548,0.1292318444697899,-2.71387011812299,0.004,36
Mean_PCA_1,Movie Task-c4,10,0.260370570058463,0.07464220420266669,2.1028010672331696,0.041999999999999815,45
Mean_PCA_1,Movie Task-c4,11,-1.0,-0.49776109055277706,-0.9285458485845757,0.538,1
Mean_PCA_1,Movie Task-lms,2,0.7562798752134406,0.024508372866062153,6.733301126633711,0.0,15
Mean_PCA_1,Movie Task-lms,3,-0.3187206390024744,0.12374002587614329,-1.8615561592290504,0.0,3
Mean_PCA_1,Movie Task-lms,4,0.1362969344876131,0.6093967870234155,-1.1246576818722396,0.0,1
Mean_PCA_1,Movie Task-lms,5,1.0,-0.06358169805757495,1.0769527444706632,0.46199999999999997,1
Mean_PCA_1,Movie Task-lms,6,-0.2081248173475392,-0.6597325820384663,1.5157713472858854,0.0,1
Mean_PCA_1,Movie Task-lms,7,0.21548404009783226,-0.013259982735783613,1.5828525053041267,0.11799999999999988,6
Mean_PCA_1,Movie Task-lms,8,-0.10275040219599345,-0.005311342758149525,-1.3401986800214456,0.182,6
Mean_PCA_1,Movie Task-lms,10,-0.012689317060901012,0.09675131676754924,-1.5531059930958186,0.234,3
Mean_PCA_1,Movie Task-lms,11,0.4994385484214356,0.006206195895896229,3.6073613938117406,0.0,15
Mean_PCA_1,Movie Task-lms,12,-0.0918480165040753,-0.558915173902472,1.9734036909533201,0.0,3
Mean_PCA_1,Movie Task-lms,13,-0.3477372316493874,-0.32001033355922004,-0.11236680996328541,0.796,3
Mean_PCA_1,Movie Task-summer,1,-0.12320022606028784,-0.03919807832888758,-0.9570006657313829,0.32,10
Mean_PCA_1,Movie Task-summer,2,-0.3953852274845493,0.39902413226490313,-3.561026349719118,0.0,1
Mean_PCA_1,Movie Task-summer,3,-0.22205371614229844,0.06285818687893024,-1.6036866185448948,0.0,3
Mean_PCA_1,Movie Task-summer,4,-0.23738176176038098,0.0197587610745591,-1.5396911507460893,0.0,3
Mean_PCA_1,Movie Task-summer,5,0.0,-0.2908294033292232,1.0549441152687835,0.30000000000000004,6
Mean_PCA_1,Movie Task-summer,6,-0.0222118152951175,-0.4075360630901963,0.8517210202811312,0.926,1
Mean_PCA_1,Movie Task-summer,7,-0.19826735225472114,-0.0731220097853424,-0.7478530858137824,0.49400000000000005,6
Mean_PCA_1,Movie Task-summer,8,-0.04242662944299187,0.007616342342229533,-0.738344555030323,0.48400000000000004,66
Mean_PCA_1,Movie Task-summer,11,0.3233456677158629,-0.18251757392583676,2.3949172752721792,0.0,1
Mean_PCA_1,pulp_fiction_6m.mp4,1,0.4640469388543944,-0.6722799876934704,1.023512304594405e+16,0.0,1
Mean_PCA_1,pulp_fiction_6m.mp4,2,0.120240722002156,-0.32854778244350297,2.147527043181318,0.0,3
Mean_PCA_1,pulp_fiction_6m.mp4,3,-0.10745532161655143,0.16506118409934353,-2.3111529834108397,0.012000000000000002,21
Mean_PCA_1,pulp_fiction_6m.mp4,4,-0.09587294550626468,0.12852400001072828,-1.7200956693598102,0.086,21
Mean_PCA_1,pulp_fiction_6m.mp4,5,-0.029846832082160376,-0.15111893102874424,1.1385124842174033,0.33199999999999985,6
Mean_PCA_1,pulp_fiction_6m.mp4,6,-0.6141994286467936,-0.5642655343393297,-0.1332193455312439,0.9259999999999999,1
Mean_PCA_1,shawshank clip_6m.mp4,2,0.5549875662203402,-0.18835874161622376,5.422268939805907,0.0,6
Mean_PCA_1,shawshank clip_6m.mp4,3,0.22470492464681974,-0.3985616739473189,4.756065271664241,0.0,15
Mean_PCA_1,shawshank clip_6m.mp4,4,1.0,-0.11541427183738226,1.3579785689874753,0.0,1
Mean_PCA_1,shawshank clip_6m.mp4,5,0.5236757918444727,0.25622615942456717,1.2296069820475013,0.23199999999999998,6
Mean_PCA_1,shawshank clip_6m.mp4,6,-0.1581257991853836,0.03628086634108093,-1.1623772692080854,0.25,10
Mean_PCA_1,shawshank clip_6m.mp4,7,0.4448183629922541,0.12537430041007436,0.5485504746480271,0.9259999999999999,1
Mean_PCA_1,the_prestige_6m.mp4,1,-0.0671122737556522,0.5397038531983315,-8.43942723417305,0.0,3
Mean_PCA_1,the_prestige_6m.mp4,2,-0.31506076086606605,0.5284921453200406,-12.371687980253535,0.0,3
Mean_PCA_1,the_prestige_6m.mp4,4,-0.0410850574092452,0.310758820453064,-2.010484279642082,0.0,1
Mean_PCA_1,the_prestige_6m.mp4,5,-0.06491468091799937,-0.02159867868394711,-0.5193115401510802,0.5920000000000001,28
