PCA,video,event_index,within_mean,across_mean,z,p,n_pairs
Mean_PCA_1,Movie Task-lms,2,0.7562798752134406,0.024508372866062153,6.733301126633711,0.0,15
Mean_PCA_1,Movie Task-lms,3,-0.3187206390024744,0.12374002587614329,-1.8615561592290504,0.0,3
Mean_PCA_1,Movie Task-lms,4,0.1362969344876131,0.6093967870234155,-1.1246576818722396,0.0,1
Mean_PCA_1,Movie Task-lms,5,1.0,-0.06358169805757495,1.0769527444706632,0.46199999999999997,1
Mean_PCA_1,Movie Task-lms,6,-0.2081248173475392,-0.6597325820384663,1.5157713472858854,0.0,1
Mean_PCA_1,Movie Task-lms,7,0.21548404009783226,-0.013259982735783613,1.5828525053041267,0.11799999999999988,6
Mean_PCA_1,Movie Task-lms,8,-0.10275040219599345,-0.005311342758149525,-1.3401986800214456,0.182,6
Mean_PCA_1,Movie Task-lms,10,-0.012689317060901012,0.09675131676754924,-1.5531059930958186,0.234,3
Mean_PCA_1,Movie Task-lms,11,0.4994385484214356,0.006206195895896229,3.6073613938117406,0.0,15
Mean_PCA_1,Movie Task-lms,12,-0.0918480165040753,-0.558915173902472,1.9734036909533201,0.0,3
Mean_PCA_1,Movie Task-lms,13,-0.3477372316493874,-0.32001033355922004,-0.11236680996328541,0.796,3
