PCA,video,event_index,within_mean,across_mean,z,p,n_pairs
Mean_PCA_1,back to the future_6m.mp4,2,-0.13865409002721024,-0.22679614910962323,0.6447986635869379,0.48799999999999977,10
Mean_PCA_1,back to the future_6m.mp4,3,-0.0965744575009507,-0.07523534012573578,-0.15820900576613184,0.872,15
Mean_PCA_1,back to the future_6m.mp4,4,-0.10923499010249625,-0.01917340664315133,-0.879183977276077,0.364,28
Mean_PCA_1,back to the future_6m.mp4,6,1.0,-0.3207192736727531,2.093909323980948,0.0,1
Mean_PCA_1,back to the future_6m.mp4,7,0.1086837962403688,0.2131216049266427,-2.169933566221453,0.0,1
