Component,Coef_SemanticChange,SE_SemanticChange,pval_SemanticChange,AIC,BIC,LLF
Mean_PCA_1,-0.051144791660853894,0.06253767192808704,0.4134578501901053,,,-369.71311701531545
Mean_PCA_2,0.043375179157668316,0.10760832480713266,0.6868865320717419,,,-376.3137126346825
Mean_PCA_3,-0.10626722666729187,0.10796820467780528,0.32499478690751415,,,-375.2916765719017
Mean_PCA_4,0.019728046619689483,0.10820398654082487,0.8553294587963466,,,-376.44979301075455
Mean_PCA_5,0.038495480311125096,0.1136645543604586,0.7348536654122353,,,-377.53846290996523
