video,event_index,start_idx,end_idx,within_mean,across_mean,z,p,n_pairs
global_Mean_PCA_1,1,0,2,0.49154009349089395,0.05299786681305895,1.2636596989936661,0.10499999999999998,3
global_Mean_PCA_1,2,2,4,0.47124710052081253,-0.03593279551568997,1.5396298266591046,0.06299999999999994,3
global_Mean_PCA_1,3,4,11,0.16229789030771435,-0.027227301931353105,1.7402980849695093,0.04599999999999993,28
global_Mean_PCA_1,4,11,12,1.0000000000000002,-0.060683878318873334,1.9044333013258588,0.0,1
global_Mean_PCA_1,5,12,13,1.0,-0.0003834315961799604,1.6946136506350942,0.0,1
global_Mean_PCA_1,6,13,14,1.0000000000000002,0.06378556188464969,1.6234130281740475,0.0,1
global_Mean_PCA_1,7,14,15,1.0000000000000002,0.05185909404436103,1.6017810972085842,0.0,1
global_Mean_PCA_1,8,15,17,0.33930033737665366,-0.004920957447880748,1.0886694734603117,0.15000000000000002,3
global_Mean_PCA_1,9,17,19,0.5177301068245095,0.04372956423208977,1.3837373906559065,0.08699999999999986,3
global_Mean_PCA_1,10,19,20,1.0000000000000002,0.06314880065033474,1.5796403207340777,0.0,1
global_Mean_PCA_1,11,20,21,1.0000000000000002,0.022208521215372354,1.7244755341682967,0.0,1
global_Mean_PCA_1,12,21,23,0.6716156735219521,0.03876059514680677,1.8499471767921383,0.030999999999999917,3
global_Mean_PCA_1,13,23,24,1.0,0.028251417676030354,1.6305245306698226,0.0,1
global_Mean_PCA_1,14,24,26,0.9293155780476203,0.03734089619624009,2.650562291260973,0.0009999999999998899,3
global_Mean_PCA_1,15,26,28,0.7608016042705191,0.07110305635559713,2.132500035156006,0.015000000000000013,3
global_Mean_PCA_1,16,28,32,0.24320552269531612,0.0009134428554812822,1.3188443548519213,0.09699999999999986,10
global_Mean_PCA_1,17,32,33,1.0000000000000002,0.08951668162788706,1.5939372581386146,0.0,1
global_Mean_PCA_1,18,33,37,0.360713369912776,-0.025351806218723422,2.054486610010173,0.020999999999999908,10
global_Mean_PCA_1,19,37,38,1.0,0.022399690786964115,1.6114769233769553,0.0,1
global_Mean_PCA_1,20,38,40,0.8085546083377007,0.02568311357798356,2.349117857774979,0.0030000000000000027,3
global_Mean_PCA_1,21,40,42,0.8345839039971971,0.0501679765406239,2.315256510332438,0.0019999999999998908,3
global_Mean_PCA_1,22,42,43,1.0000000000000002,0.05028804649000162,1.6712390328072075,0.0,1
global_Mean_PCA_1,23,43,45,0.49280064921151845,-0.01755168369473968,1.5310750433251414,0.07299999999999995,3
global_Mean_PCA_1,24,45,49,0.563453116344639,-0.070253041392024,3.542651022688226,0.0,10
global_Mean_PCA_1,25,49,51,0.39217802636929616,-0.017266319786694222,1.1838819212457092,0.121,3
global_Mean_PCA_1,26,51,52,1.0000000000000002,0.03503061825858578,1.6838884963687937,0.0,1
global_Mean_PCA_1,27,52,55,0.43456159805300754,0.04112355932550419,1.7601093390530285,0.03299999999999992,6
global_Mean_PCA_1,28,55,56,1.0,-0.038084633188719665,1.6866624802992203,0.0,1
global_Mean_PCA_1,29,56,58,0.3879818946113467,-0.010476544190439476,1.1653917685027977,0.1289999999999999,3
global_Mean_PCA_1,30,58,61,0.302902290190386,0.02012425723500728,1.2488590475883528,0.10899999999999987,6
global_Mean_PCA_1,31,61,64,0.48493290957462243,0.03670248047400916,1.9217550152367746,0.02199999999999991,6
global_Mean_PCA_1,32,64,67,0.4246704555946814,-0.0421803023757423,1.9957659039164404,0.018999999999999906,6
global_Mean_PCA_1,33,67,68,1.0,0.05830374511140412,1.7310310051505782,0.0,1
global_Mean_PCA_1,34,68,69,1.0000000000000002,-0.026357076398157438,1.8216158560702247,0.0,1
global_Mean_PCA_1,35,69,70,1.0000000000000002,0.03346308363791789,1.6245776912590026,0.0,1
global_Mean_PCA_1,36,70,71,1.0000000000000002,-0.026280849114644518,1.6415531809230883,0.0,1
global_Mean_PCA_1,37,71,72,1.0000000000000002,0.023696295873304737,1.5684414158362816,0.0,1
global_Mean_PCA_1,38,72,73,1.0,-0.0005911740014242279,1.6555871850024924,0.0,1
global_Mean_PCA_1,39,73,79,0.21292750863535495,0.0188875917547926,1.581035171304197,0.05500000000000005,21
global_Mean_PCA_1,40,79,84,0.3015761675875836,0.03410205838060124,1.8929070383966835,0.025999999999999912,15
global_Mean_PCA_1,41,84,85,1.0,0.0955656442024701,1.6880724639084983,0.0,1
global_Mean_PCA_1,42,85,86,1.0,-0.008626211734819481,1.6786997387846823,0.0,1
global_Mean_PCA_1,43,86,90,0.3815423615383352,-0.0295919633186361,2.2219259231661015,0.010999999999999899,10
global_Mean_PCA_1,44,90,91,1.0000000000000002,0.05773525949880225,1.6543438313391632,0.0,1
global_Mean_PCA_1,45,91,92,1.0,-0.10439564581914772,1.9860811870958521,0.0,1
global_Mean_PCA_1,46,92,96,0.30457306470775425,-0.034038497610727844,1.8572258546988716,0.03199999999999992,10
global_Mean_PCA_1,47,96,98,0.7838127746971292,-0.08687004219761368,2.798966666532334,0.0009999999999998899,3
global_Mean_PCA_1,48,98,99,1.0,-0.01152073243792944,1.849361125650643,0.0,1
global_Mean_PCA_1,49,99,103,0.318054623732773,0.03645827563885284,1.525061331619457,0.05599999999999994,10
global_Mean_PCA_1,50,103,108,0.20694249987133065,0.009873915272600432,1.2830124012602195,0.11099999999999999,15
global_Mean_PCA_1,51,108,109,1.0000000000000002,-0.009651494266028085,1.793995478418396,0.0,1
global_Mean_PCA_1,52,109,117,0.2418703658679066,-0.05006935147728335,3.1041366438885665,0.0019999999999998908,36
