PCA,video,event_index,within_mean,across_mean,z,p,n_pairs
Mean_PCA_3,Movie Task-lms,2,0.08566304174299676,0.5090200197312874,-2.2749309626917986,0.022000000000000002,15
Mean_PCA_3,Movie Task-lms,3,1.0,0.6750883651249617,1.0476833585271328,0.24399999999999977,3
Mean_PCA_3,Movie Task-lms,4,-0.2703006493072295,0.316728161735345,-0.9252573481460787,0.9259999999999999,1
Mean_PCA_3,Movie Task-lms,5,0.6239408206764233,0.27157900689490805,0.6976116017585023,0.926,1
Mean_PCA_3,Movie Task-lms,6,0.3483606009667098,0.3229425252120999,0.06554424138505159,0.9259999999999999,1
Mean_PCA_3,Movie Task-lms,7,-0.12507109555023488,0.06358605213843269,-1.436717111044772,0.17800000000000002,6
Mean_PCA_3,Movie Task-lms,8,0.147389534039338,0.05549304401217516,0.5916708525413005,0.5759999999999998,6
Mean_PCA_3,Movie Task-lms,10,-0.21603211625021737,-0.0016519755827649311,-0.7933100154361996,0.606,3
Mean_PCA_3,Movie Task-lms,11,-0.07649857543471358,0.11315495229523023,-1.3492900817480298,0.18600000000000003,15
Mean_PCA_3,Movie Task-lms,12,-0.10674612109348085,-0.04947350728058751,-0.2833212290346471,0.8659999999999999,3
Mean_PCA_3,Movie Task-lms,13,0.2961730598721081,0.4227369382703434,-0.399405984347368,0.586,3
