PCA,video,event_index,within_mean,across_mean,z,p,n_pairs
Mean_PCA_3,back to the future_6m.mp4,2,-0.056794853692682445,-0.21262853626542472,1.5729468909354485,0.07799999999999985,10
Mean_PCA_3,back to the future_6m.mp4,3,-0.006169149982112303,-0.22396517764370014,1.3238576039440733,0.18999999999999995,15
Mean_PCA_3,back to the future_6m.mp4,4,-0.0130134249308231,-0.210809687559153,1.7262120196291224,0.08199999999999985,28
Mean_PCA_3,back to the future_6m.mp4,6,-1.0,-0.012506255868011268,-1.0769527444706637,0.4640000000000001,1
Mean_PCA_3,back to the future_6m.mp4,7,0.7815956921537178,0.26670346289689906,0.9690841231166399,0.9259999999999999,1
