PCA,video,event_index,within_mean,across_mean,z,p,n_pairs
Mean_PCA_3,12 years_6m.mp4,2,0.333304959378053,-0.34350024756393716,2.8058730581378004,0.0,3
Mean_PCA_3,12 years_6m.mp4,3,-0.09290975465942637,-0.09216175185201902,-0.007588837215287854,0.99,21
Mean_PCA_3,12 years_6m.mp4,4,-1.0,-0.9455509261898294,-0.9285458485845793,0.538,1
Mean_PCA_3,12 years_6m.mp4,5,0.063806250427997,-0.46841791572322417,1.0782535630221382,0.0,1
Mean_PCA_3,12 years_6m.mp4,6,0.2203600226413493,-0.1303459336289232,3.2970941066736144,0.0,15
Mean_PCA_3,12 years_6m.mp4,7,0.002982666902780091,-0.15643229942238768,0.9869173795006929,0.34399999999999986,6
