Run_time,Mean_PCA_1,Mean_PCA_2,Mean_PCA_3,Mean_PCA_4,Mean_PCA_5,Mean_gradient_1,Mean_gradient_2,Mean_gradient_3,Mean_gradient_4,Mean_gradient_5,Time_rounded,BoundaryDensity,VideoName,Within_or_Across
60.0,0.7732382088333334,-0.4962658499166666,0.0609462599999999,0.0757073067499999,-0.5978704186666667,0.19,0.32,-0.11,-0.04,-0.13,60.0,0.001396895081359,12 years_6m.mp4,1
70.0,-0.0046342434166666,0.389676019,-0.4664283003333334,-0.3803946726666666,-0.0230842998333333,-0.12,-0.27,-0.02,0.0,-0.44,70.0,0.0045238124524525,12 years_6m.mp4,1
80.0,-0.4721054228333333,-0.3548554354166666,0.4861837213333333,-0.0843554329166666,-0.2900480688333333,-0.02,-0.05,-0.45,0.27,0.24,80.0,0.0089888979602738,12 years_6m.mp4,0
90.0,-0.7027249365833335,0.27968690175,0.1667710503333333,-0.2582776570833333,-0.6919254656666666,0.02,0.1,0.12,-0.33,-0.01,90.0,0.00078651050717,12 years_6m.mp4,1
100.0,0.3091028790833333,0.1138066075,0.2595865005833334,-0.00440506875,-0.3191290305,0.02,-0.19,0.13,-0.03,-0.06,100.0,0.0029310380018268,12 years_6m.mp4,0
110.0,-0.250513616,0.4070404879166666,0.0450441226666666,-0.5390884268333334,-1.1155799976666667,-0.51,0.04,0.24,0.17,0.04,110.0,0.0036857550623847,12 years_6m.mp4,1
120.0,-0.7607225805833333,0.0870571769166666,0.4161841545833333,-0.17906416925,-1.09878959225,0.42,-0.01,-0.1,-0.07,-0.09,120.0,0.0011710695835344,12 years_6m.mp4,1
130.0,0.0394955771818181,0.0735770435454545,0.1889842219090909,0.2410362875454546,-0.7832592891818181,-0.22,-0.35,-0.26,-0.01,0.05,130.0,0.0003243514935414,12 years_6m.mp4,1
140.0,-0.3412780611666666,0.26535362,-0.2651237573333333,-0.1657392775,-0.7667591415833334,-0.34,0.09,0.14,-0.13,-0.25,140.0,0.0004953648478207,12 years_6m.mp4,1
150.0,-0.5549874779166667,0.4215326951666667,0.2593102188333333,0.0472692536666666,-0.9601219479166666,-0.13,0.04,0.04,-0.08,0.04,150.0,0.0014519792985645,12 years_6m.mp4,1
160.0,-0.6036127268333332,0.3951243913333333,-0.1253181255833333,-0.4389964319166666,-0.98346008925,0.03,0.0,-0.2,0.29,-0.09,160.0,0.0033575886058602,12 years_6m.mp4,1
170.0,-0.1297684190833333,0.3818653375833333,0.24686290925,-0.7286617985,-1.04490339475,-0.06,-0.29,0.02,0.22,0.34,170.0,0.0064678658828445,12 years_6m.mp4,1
180.0,0.0109716124999999,0.2782230177499999,-0.4053655541666667,-0.0141534533333333,-0.884327671,0.13,0.0,0.13,0.08,0.29,180.0,0.0088561440658476,12 years_6m.mp4,0
190.0,0.0363032777272727,0.1203562301818182,0.3999576887272728,-0.1354789442727272,-0.4782198925454545,-0.04,-0.13,-0.08,-0.02,-0.1899999999999999,190.0,0.0039963605911696,12 years_6m.mp4,1
