Component,Coef_VisualChange,SE_VisualChange,pval_VisualChange,AIC,BIC,LLF
Mean_PCA_1,-0.13044957078830668,0.13698189685497253,0.34093852715692274,,,-273.6500845083626
Mean_PCA_2,0.062172341064458514,0.10045727866998068,0.5359866240067538,,,-279.0897348781775
Mean_PCA_3,0.013001163942675358,0.09074983430810307,0.886081863167357,,,-279.94844017321816
Mean_PCA_4,0.02671377416811008,0.07174118957670908,0.7096224985852128,,,-280.1344162523508
Mean_PCA_5,-0.006328833968944786,0.08910250017435614,0.9433749208870192,,,-280.2200888552395
