component,n_rows,n_participants,n_videos,beta_visual,p_visual,converged
PCA_1,2391,226,5,-0.015479142279978856,0.36542059485417033,True
PCA_2,2391,226,5,0.012943886380773909,0.39378515405215786,True
PCA_3,2391,226,5,0.05778486420681023,0.0013960233184536152,True
PCA_4,2391,226,5,0.02152209675204621,0.27556176569578383,True
PCA_5,2391,226,5,0.014879491707444181,0.5027627070696564,False
