t,mean_r,null_lo,null_hi
-10,0.005672353469108031,-0.7429212165288311,0.5397926381049123
-9,0.14607973633722018,-0.618299370120931,0.5314141177256224
-8,0.07359785800264167,-0.6530898606239701,0.5506822075331332
-7,0.13725555698463976,-0.5495992741868488,0.43426719279319914
-6,0.1282749450635017,-0.560246889995837,0.4811217968009369
-5,0.12645041207457097,-0.511423630528882,0.5360863130624871
-4,0.15825524313454545,-0.43299061893830304,0.5479449870168416
-3,0.166674635371274,-0.4494763799271534,0.5337039231149638
-2,0.18265125070072452,-0.485332329301261,0.507931883851114
-1,0.14391144532410793,-0.4733095917176253,0.5737324710242131
0,0.09234108564829867,-0.4207086658654948,0.5230163006058354
1,-0.047019068009809796,-0.5274297861264519,0.6156176765314727
2,-0.07628530360514256,-0.5459457235276965,0.61696177998444
3,0.041919602183793876,-0.5629024267435423,0.513899317176517
4,0.05980660258741463,-0.5398257270929906,0.5497530936671334
5,0.10623570781700725,-0.5667218071074154,0.5729192209315763
6,0.13770183796137447,-0.6340320717652308,0.5793671127768472
7,0.1854929630784733,-0.4781795075077372,0.5721528018658195
8,0.11339893859489504,-0.5135027953722513,0.5275826516815078
9,0.17884100065400918,-0.5177053396667411,0.5191519315675863
10,0.06013148263849658,-0.5432715738840245,0.45242903356733855
