t,mean_r,null_lo,null_hi
-10,-0.18584877745568176,-0.6433485856882659,0.6306241818475611
-9,-0.026743978174677746,-0.583450827877594,0.5710830873202104
-8,0.1832987210923536,-0.5552248025160547,0.5887397320748659
-7,0.1795178634196346,-0.5150966685188612,0.5889785858627307
-6,0.022688215399702522,-0.5058328208137111,0.6033488786145345
-5,-0.0026946130387001618,-0.5049659186721004,0.5966725588356454
-4,-0.037972585611378694,-0.5419751209921931,0.5706955542306241
-3,-0.053087780099894157,-0.5276258459994123,0.5522071087380303
-2,-0.06145996347987606,-0.6096768666803383,0.5659842862238329
-1,-0.06747144828356645,-0.5367741696291248,0.5400368426631701
0,-0.06748727422735577,-0.5996651090591489,0.5721545039671262
1,-0.022679578753960667,-0.5857970422900534,0.5692679304246242
2,0.024778399786634184,-0.6691820272094862,0.5789161867221837
3,-0.15528948813403884,-0.6924603846111065,0.48327560783187257
4,-0.2466507013140727,-0.5697256255092857,0.6748271267259851
5,-0.2166743904528664,-0.5175841331511972,0.6878962260392505
6,-0.1028689891814882,-0.531029941567199,0.6814731432239167
7,-0.02977780638443502,-0.5263406929376213,0.5983175748428585
8,-0.0487004245349926,-0.5388659648955779,0.6234038266260782
9,-0.004250153689818722,-0.5704152645800461,0.5548338502059063
10,-0.012211908596599466,-0.6243545512969733,0.5646014578728812
