t,mean_r,null_lo,null_hi
-10,0.10590348806480393,-0.5201981694764096,0.6708968055027114
-9,-0.006955971587743415,-0.4987164017314825,0.6765386017942099
-8,-0.2361362509051307,-0.46359330250814174,0.6499744708332549
-7,-0.2574112991091522,-0.4904267908321907,0.6794840563722153
-6,-0.19195632481942648,-0.5596441506236878,0.5995119950550277
-5,-0.12769035995902867,-0.550158225985798,0.6104351229478369
-4,-0.050516494092302834,-0.5781199001012572,0.6855310078130804
-3,-0.09873512309731768,-0.5540445662832967,0.5776631180355389
-2,-0.17045979537541855,-0.5205687089683491,0.6282843740116254
-1,-0.12203394093104147,-0.5452042709168763,0.6334914514083541
0,-0.10047118654895752,-0.45517632098828276,0.5934764325832773
1,0.020186972454538894,-0.5559179066044833,0.6605978905206799
2,0.04971670243230899,-0.5519631804164074,0.6957134159237094
3,0.30810001660367975,-0.5678442322117524,0.5955864868169252
4,0.2962357877451312,-0.49540340692660084,0.6033959649935521
5,0.2254158559685552,-0.5590821964402435,0.603835348965255
6,0.24652197423697533,-0.5076642926559509,0.5842098305217196
7,0.03783386467112241,-0.4397777212475952,0.48175841981587203
8,-0.14709536279902827,-0.45631831962639735,0.47446123559092634
9,-0.23683886581395738,-0.44785655209081465,0.5130811966923908
10,-0.20043540587422562,-0.5152513221742001,0.5434846224523484
