Video,ΔSpeed,ΔPCA2
12_years_6m,0.879329963203116,1.4371778909039747
12_years_6m,-0.0866775804095341,-1.0915983974328596
Movie_Task-c4,1.5843089722996258,-0.38784005352335205
Movie_Task-c4,-0.32139756005725295,-0.12313005426117765
Movie_Task-c4,-0.7627876848051004,0.8406167812348022
Movie_Task-lms,-0.3081052685265707,0.8080107769268206
Movie_Task-lms,0.2140314367980808,-1.6083473210351555
Movie_Task-lms,0.9433864541146345,-0.4360996961025305
Movie_Task-summer,-1.1567009169679652,0.028499257026875724
Movie_Task-summer,0.8751118768009287,0.7074655439411547
back_to_the_future_6m,-0.15677823100145336,0.8077038975188031
pulp_fiction_6m,0.32489012478497264,1.0053422454087375
pulp_fiction_6m,-0.0588410222098071,-0.2809316358826335
shawshank_clip_6m,-1.3334107437957439,-0.37404920701807953
the_prestige_6m,0.5361174193685,-0.469035407202285
