term,estimate,se,t,p
Intercept,0.04553807963620285,0.2139378283625072,0.21285660411136267,0.8314388115623059
ΔPCA3,0.2916899186054245,0.32726513767718785,0.8912954208191447,0.3727707046601755
Group Var,0.10193756494617949,,,
