term,estimate,se,t,p
Intercept,0.07003426888483107,0.20856221481030654,0.33579557518858,0.7370250271197791
ΔPCA2,0.015449267073654559,0.24573731317177178,0.06286903227779427,0.9498707947072046
Group Var,0.0569739007216951,,,
