Video,ΔSpeed,ΔPCA4
12_years_6m,0.879329963203116,-0.05684101948382733
12_years_6m,-0.0866775804095341,0.7590691438342333
Movie_Task-c4,1.5843089722996258,-0.2111587762150981
Movie_Task-c4,-0.32139756005725295,-1.5380714976179775
Movie_Task-c4,-0.7627876848051004,-1.1847932543181603
Movie_Task-lms,-0.3081052685265707,0.6294032786987628
Movie_Task-lms,0.2140314367980808,-0.9323626817105685
Movie_Task-lms,0.9433864541146345,-0.037216344629318554
Movie_Task-summer,-1.1567009169679652,0.7860308087469798
Movie_Task-summer,0.8751118768009287,0.37833432974252007
back_to_the_future_6m,-0.15677823100145336,-0.9615358584993782
pulp_fiction_6m,0.32489012478497264,-0.22157196622439432
pulp_fiction_6m,-0.0588410222098071,-0.13024120096567846
shawshank_clip_6m,-1.3334107437957439,-0.17042753896114587
the_prestige_6m,0.5361174193685,-0.028214567098159227
