Video,ΔSpeed,ΔPCA1
12_years_6m,0.879329963203116,-1.0010721358482852
12_years_6m,-0.0866775804095341,0.3800012132410663
Movie_Task-c4,1.5843089722996258,-0.4082726064585866
Movie_Task-c4,-0.32139756005725295,0.8507901516798633
Movie_Task-c4,-0.7627876848051004,-0.42171275464658264
Movie_Task-lms,-0.3081052685265707,0.8409046448330257
Movie_Task-lms,0.2140314367980808,1.1256283072618758
Movie_Task-lms,0.9433864541146345,0.7827648373608057
Movie_Task-summer,-1.1567009169679652,0.5765825119805221
Movie_Task-summer,0.8751118768009287,0.734785567674155
back_to_the_future_6m,-0.15677823100145336,0.11269499884440849
pulp_fiction_6m,0.32489012478497264,0.14468227005736156
pulp_fiction_6m,-0.0588410222098071,-0.38214035502293753
shawshank_clip_6m,-1.3334107437957439,-0.2264116313665493
the_prestige_6m,0.5361174193685,0.5737783831063338
