term,estimate,se,t,p
Intercept,0.0854834537162925,0.21642335794496942,0.3949825680924358,0.692855752862451
ΔPCA4,0.07463423036215655,0.3035971125985699,0.24583313630140272,0.805811404969311
Group Var,0.05417283429372504,,,
