Video,ΔSpeed,ΔPCA5
12_years_6m,0.879329963203116,-1.6385315973041747
12_years_6m,-0.0866775804095341,0.5571578115651126
Movie_Task-c4,1.5843089722996258,-0.33256259943684635
Movie_Task-c4,-0.32139756005725295,-0.3394619898110832
Movie_Task-c4,-0.7627876848051004,-0.375276266648863
Movie_Task-lms,-0.3081052685265707,-0.4380936686024086
Movie_Task-lms,0.2140314367980808,1.166564179446341
Movie_Task-lms,0.9433864541146345,-0.6581609383940026
Movie_Task-summer,-1.1567009169679652,0.18030047941066263
Movie_Task-summer,0.8751118768009287,-0.6204299737248168
back_to_the_future_6m,-0.15677823100145336,-0.6046995122206745
pulp_fiction_6m,0.32489012478497264,-0.6490819115301284
pulp_fiction_6m,-0.0588410222098071,0.12940535648035584
shawshank_clip_6m,-1.3334107437957439,0.6569976564544346
the_prestige_6m,0.5361174193685,0.7051359929252541
