Component,Delta_CrossMinusWithin,t,p,Num_CrossSegs,Num_WithinSegs,WindowUsed_s,Num_Videos
Mean_PCA_1,-0.1379761544530943,-5.111057209240248,3.322357985048844e-07,65,57,21,8
Mean_PCA_2,0.06616098361960474,2.610572065315073,0.0090656784120191,65,57,21,8
Mean_PCA_3,-0.0008232457009947694,-0.029984289868759454,0.9760807605820971,65,57,21,8
Mean_PCA_4,0.008829910786990781,0.31680763927504846,0.7514022531046374,65,57,21,8
Mean_PCA_5,0.04740488902976883,1.6667563574461417,0.0956231118400367,65,57,21,8
