Component,Beta_KDE,SE,p,N_timepoints
Mean_PCA_1,-0.11388761749995956,0.017789325118572473,1.533344445980082e-10,3099
Mean_PCA_2,0.09357893621619551,0.016778595120859222,2.443073545346951e-08,3099
Mean_PCA_3,0.00490796898669138,0.017721948178788045,0.7818238961623607,3099
Mean_PCA_4,0.07941862936702579,0.01716595038026943,3.718592367044715e-06,3099
Mean_PCA_5,0.07046815258770822,0.018300454305416044,0.0001178176799429449,3099
