VideoName,Run_time,BoundaryDensity,GradSpeed,Speed_z
12 years_6m.mp4,60.0,0.001396895081359,,
12 years_6m.mp4,70.0,0.0045238124524525,0.7416198487095663,0.6973788922320808
12 years_6m.mp4,80.0,0.0089888979602738,0.8823831367382312,1.3912044158950414
12 years_6m.mp4,90.0,0.00078651050717,0.8783507272155014,1.3713285754830034
12 years_6m.mp4,100.0,0.0029310380018268,0.4203569911396741,-0.886133211729986
12 years_6m.mp4,110.0,0.0036857550623847,0.629205848669575,0.14328766903678222
12 years_6m.mp4,120.0,0.0011710695835344,1.0283481900601565,2.1106695617855906
12 years_6m.mp4,130.0,0.0003243514935414,0.7576278769950324,0.7762828363180788
12 years_6m.mp4,140.0,0.0004953648478207,0.6873136110975834,0.4297021827932796
12 years_6m.mp4,150.0,0.0014519792985645,0.37841775856849,-1.0928526654187838
12 years_6m.mp4,160.0,0.0033575886058602,0.4884669896727925,-0.5504174433593219
12 years_6m.mp4,170.0,0.0064678658828445,0.5748043145279966,-0.1248587592148982
12 years_6m.mp4,180.0,0.0088561440658476,0.39293765408777004,-1.0212837623810513
12 years_6m.mp4,190.0,0.0039963605911696,0.5747173218200404,-0.12528754829760477
12 years_6m.mp4,200.0,0.0045871798852322,0.24494897427831785,-1.7507234103386498
12 years_6m.mp4,210.0,0.0070017127636984,0.6752777206453653,0.370376998558739
12 years_6m.mp4,220.0,0.0017126596712517,0.5613376880274474,-0.1912360747392013
12 years_6m.mp4,230.0,0.001062613615192,0.577408001330082,-0.11202512635358479
12 years_6m.mp4,240.0,0.0013742285876428,0.41146081222881964,-0.9299826846846534
12 years_6m.mp4,250.0,0.00055616921247,0.4581484475582123,-0.6998582432578183
12 years_6m.mp4,260.0,0.0003031374645566,0.5129327441292864,-0.4298251700804433
12 years_6m.mp4,270.0,0.0043442709584981,0.812526922630875,1.0468815103070566
12 years_6m.mp4,280.0,0.0025719073376804,0.5542562584220407,-0.22614060611994852
