Video,r,p
12 years_6m.mp4,-0.020285704539633586,0.725951835637291
back to the future_6m.mp4,-0.06191723503540991,0.2842674722075937
Movie Task-c4,-0.16157449399230828,6.921320815332436e-05
Movie Task-lms,-0.0007769907848137296,0.9848343162496009
Movie Task-summer,-0.14897520936676717,0.009644297851226861
pulp_fiction_6m.mp4,-0.1610782458426427,0.005089865391385485
shawshank clip_6m.mp4,-0.4707139877864205,5.287384702800632e-18
the_prestige_6m.mp4,0.018628977358615094,0.7475406911090179
