Component,Delta_CrossMinusWithin,t,p,Num_CrossSegs,Num_WithinSegs,WindowUsed_s,Num_Videos
Mean_PCA_1,-0.0022162726814736744,-0.06502706253106902,0.9481568909969084,34,31,23,8
Mean_PCA_2,0.12228942950776703,3.69796428779672,0.00022129022409065526,34,31,23,8
Mean_PCA_3,0.013059645807552811,0.4167203800045766,0.6769131074258745,34,31,23,8
Mean_PCA_4,-0.055191830495337074,-1.5832920646570543,0.11345990436287817,34,31,23,8
Mean_PCA_5,0.09388998463758078,2.402274112115948,0.016353703557326255,34,31,23,8
