participant_id,VideoName,CueWord,Response,RT (s)
019,prestige.mp4,MAGIC,cool,3.552935699990485
019,prestige.mp4,COOL,amazing,6.022091699996963
019,prestige.mp4,AMAZING,nice,1.117628199979663
019,prestige.mp4,NICE,fun,1.6349100000225008
019,prestige.mp4,FUN,birthday,1.5345896999933757
019,prestige.mp4,BIRTHDAY,surprise,7.206094299966935
019,prestige.mp4,SURPRISE,happy,4.07074279995868
019,prestige.mp4,HAPPY,exciting,5.937886900035664
019,prestige.mp4,EXCITING,nice,18.665210000006482
019,prestige.mp4,NICE,kind,2.118905200040899
019,prestige.mp4,KIND,cool,0.8677366999909282
019,prestige.mp4,COOL,diffferent,4.0701639000326395
019,prestige.mp4,DIFFFERENT,good,2.3693044000538066
019,prestige.mp4,GOOD,scary,11.642591099953279
019,prestige.mp4,SCARY,spooky,1.9518038000096567
019,prestige.mp4,SPOOKY,awesome,30.241659400053322
019,prestige.mp4,AWESOME,fantastic,5.721960199996829
019,prestige.mp4,FANTASTIC,bunny,5.938424699997995
019,prestige.mp4,BUNNY,hidden,2.6530725000193343
019,prestige.mp4,HIDDEN,under,1.1020547999651171
019,prestige.mp4,UNDER,ground,2.5356291999923997
019,prestige.mp4,GROUND,rocks,2.719209300004877
019,prestige.mp4,ROCKS,broken,12.426645700004883
019,prestige.mp4,BROKEN,sick,9.39157370000612
019,prestige.mp4,SICK,cards,3.0193266000133008
019,prestige.mp4,CARDS,jack,2.619011100032367
019,prestige.mp4,JACK,kingqueens,2.2185609999578446
019,prestige.mp4,KINGQUEENS,spade,1.9017353999661282
019,prestige.mp4,SPADE,numbers,3.9200487000052817
019,prestige.mp4,NUMBERS,wond,3.720047499984503
019,prestige.mp4,WOND,spells,1.718069499998819
019,prestige.mp4,SPELLS,strong,6.65473850001581
019,prestige.mp4,STRONG,secret,1.401327700004913
019,prestige.mp4,SECRET,only,3.0864542000344954
019,prestige.mp4,ONLY,scary,5.555260900000576
019,prestige.mp4,SCARY,spell,2.635651800024789
019,prestige.mp4,SPELL,change,1.4511428999830969
019,prestige.mp4,CHANGE,done,5.220840100024361
019,prestige.mp4,DONE,magical,2.8865954999928363
019,prestige.mp4,MAGICAL,different,4.353835000016261
019,prestige.mp4,DIFFERENT,speciak,4.987557899963576
019,prestige.mp4,SPECIAK,special,3.8532181999762543
019,prestige.mp4,SPECIAL,amazing,1.3350528000155464
019,prestige.mp4,AMAZING,cool,2.0850235000252724
019,prestige.mp4,COOL,creative,5.00482179998653
019,prestige.mp4,CREATIVE,creates,2.0517869999748655
019,prestige.mp4,CREATES,forget,3.80328809999628
019,prestige.mp4,FORGET,cantsay,3.986445899994578
019,prestige.mp4,CANTSAY,why,1.9852582000312395
019,prestige.mp4,WHY,how,1.3018382000154816
019,prestige.mp4,HOW,wow,0.834178899996914
019,prestige.mp4,WOW,omg,3.052791599999182
019,prestige.mp4,OMG,scared,1.3346677999943495
019,prestige.mp4,SCARED,tricks,2.602037000004202
019,prestige.mp4,TRICKS,hats,2.369420800008811
019,prestige.mp4,HATS,ribbons,1.1844923999742605
019,prestige.mp4,RIBBONS,balloons,9.241548600024544
019,prestige.mp4,BALLOONS,events,2.0349263999960385
