VideoName,ProbeNumber,Average_Component 1,Average_Component 2,Average_Component 3,Average_Component 4,Average_Component 5
12 years_6m.mp4,1,-220.9804320225363,-0.4327885490802632,-1.3337885588296785,0.462917289721156,-0.12776024274795483
12 years_6m.mp4,2,-130.70107326523288,-0.27537815062655735,-2.26619574715119,1.1226120260578625,-0.08511021754457236
12 years_6m.mp4,3,-40.88859000768144,-0.39127842735711726,-3.049829584472391,1.5996204270065482,-0.7514298493507994
Movie Task-c4,0,-193.44938513564247,0.29950475446013847,4.097617811480102,-1.9422301917741702,2.191612189858183
Movie Task-c4,1,-73.07534890710531,0.5844477332516004,3.002991347138652,-1.1623754256398757,0.7977189607663883
Movie Task-c4,2,47.174931924550556,0.6482981571414622,1.9210421510815103,-1.3795989635833248,0.7081606048146847
Movie Task-c4,3,167.17283950698095,1.314454733942045,0.8287745224315279,-1.5228552418678831,0.6785413305543795
Movie Task-c4,4,287.29623452943844,1.496723296086204,-0.293054055504772,-1.228137200133176,0.35182312809664645
Movie Task-c4,5,354.35595554726456,-0.2226234322894226,-0.7381963949183491,-0.49907017853598634,-0.05349800603027438
Movie Task-lms,0,-193.70375869909637,0.2290065044596479,4.206281089011533,-0.4116296307592399,0.2152206255738786
Movie Task-lms,1,-72.6984254929331,1.0595774348105664,2.9943488258007656,-0.022736323154098077,0.29554313016509737
Movie Task-lms,2,47.17499975072014,-0.008252135577409283,2.102603352824154,-0.6363049072805039,0.06812426798002286
Movie Task-lms,3,166.03660805810173,-0.06752615959958375,1.137674877351728,-0.07600864537798477,0.08662984504790289
Movie Task-lms,4,288.0515864827102,-0.23906231160252525,0.0546575612806347,0.028948337317786,0.06854494914157817
Movie Task-lms,5,354.356143323191,-2.0730949528076046,-0.3823222530367815,0.2273656708880712,0.19765110742154207
Movie Task-summer,0,-193.01115145070133,0.6110129536729572,3.99652404504001,-0.20963608317016091,0.5360997860395317
Movie Task-summer,1,-72.76078993464616,1.2825575629172878,2.9508898052552754,0.06251502222833938,0.2383369674435437
Movie Task-summer,2,46.98268583842046,1.5332836619127792,1.8782558514891081,0.05077373755587956,-0.31322337250086185
Movie Task-summer,3,166.98146914367265,0.48923955012209347,0.8430465128829585,0.22988714177376054,-0.46332970252978095
Movie Task-summer,4,286.8517559981379,0.8096677259872078,-0.408408316467373,1.018582549207599,0.18779215632243818
Movie Task-summer,5,354.35429503805875,-1.3587813420977957,-0.7394614435052458,0.7763235331321358,-0.38851397996889053
back to the future_6m.mp4,1,-221.07310035431652,-0.27696464998576137,-1.131149860404997,0.14148208756727026,-1.3913824613961492
back to the future_6m.mp4,2,-130.97953267684804,-0.8251297853652486,-1.918642937072287,0.4104873559618059,-1.0432876714510944
back to the future_6m.mp4,3,-40.981250595894686,-0.6563942167264945,-2.7285894849553864,1.013272222775665,-1.3898932873838563
pulp_fiction_6m.mp4,1,-220.88584506336738,-0.12071679757109824,-1.2383723068034878,-0.27430491164318827,-0.10544435882001028
pulp_fiction_6m.mp4,2,-130.8858850564962,-1.4543440119201785,-1.9816189195317406,0.38529437410795797,0.7034464874212846
pulp_fiction_6m.mp4,3,-40.69942930864769,-0.6999851671132894,-2.790372545517706,0.16391689412245689,0.006100203547532163
shawshank clip_6m.mp4,1,-220.51196367275108,-0.38429530007075485,-1.163344967444835,0.15082193118282436,-0.35647890875431826
shawshank clip_6m.mp4,2,-130.32716184668124,0.051400742549115565,-2.1135232051746895,1.358304743960007,-0.8727899124312587
shawshank clip_6m.mp4,3,-40.60781015806533,-0.6458607463635145,-2.774566137248668,1.2715798920382027,-0.7242990038037667
the_prestige_6m.mp4,1,-220.41859060484373,0.06284695009889088,-1.2278128276904867,-0.32400833555867636,0.2867363384892193
the_prestige_6m.mp4,2,-130.5125681683323,-0.48440011627206325,-2.01269929264023,-0.014903092200750735,-0.03566086003732397
the_prestige_6m.mp4,3,-40.41955740746989,-0.540138263237292,-2.7219957092857885,-0.0019090265730330376,-0.12384609443336685
