Component 1,Component 2,Component 3,Component 4,Component 5
-220.72316793824027,-2.705706671341245,-2.798267397952494,-1.2961878570041445,0.31304577888572366
-90.72922034416608,-1.9957320141242259,-3.902868605431543,0.4764229529896233,0.7098599938916116
-0.7252632605988679,-1.0780345497083197,-4.7241713852059135,-2.3638626721780045,2.101667930745569
-210.70053578504903,0.6074481925355596,1.4585879493380776,1.086220897118357,-1.8242833393619386
-140.70214720011535,-1.6966321081161007,1.003700419557076,2.8872009440961204,-2.0545062985217712
-60.69843170648381,0.5122815297872658,0.11514607834163337,1.8450646299774944,-4.240642139515347
-260.73348923060274,1.5691403594409246,-5.129470916237374,0.9847456499717526,-1.1614592071310383
-120.73757700365822,-1.2359148253718757,-5.859745441272066,-0.29757519012772066,-2.222473789963869
-30.738992295261667,1.1746372731145893,-7.053949990162974,1.6814797280829357,-0.973470649230729
-240.7428415555821,-1.230461932444187,-5.72223413517473,0.16637141129712749,-2.7762828994224464
-170.7433701615511,1.4340554253830726,-7.069830830573326,2.490384463615532,-0.4134119265709458
-50.74608759986323,-1.3420542786533582,-7.628460191106286,3.3074235493967516,-0.503323748963282
-200.71121326152686,-0.2750012134546955,-0.038273045539440456,5.0483273718308235,-1.9894686712326857
-110.70783140659037,1.0619565248745217,-1.033602121008961,4.192939415818342,0.13601558510788697
-40.70838836621363,-0.30668772324111476,-1.4978986709317417,4.905559202293478,-0.11252960258069727
-200.68523830773097,-1.1366401942854838,1.0844509171780912,5.429388710633908,-0.4687593459051206
-110.69382217592175,9.129318368654223,-1.2103351485267113,8.744996185486846,0.3328730506770673
-40.693323898783945,8.942990856529454,-1.7608887570210685,8.8095154256813,-0.20649768050724399
-210.67210639469462,2.348449828498001,1.5302814550402875,4.8869125494462144,1.93191364164155
-140.68204849967972,6.791233021026617,0.5073346033753281,6.954290505531818,-0.2640092545644152
-60.674227207865016,7.730208047760717,-0.611575281713105,5.2596217197157324,0.20288268322349445
-180.69401258239694,-3.888368054400027,-1.315933940908884,3.6290930103187593,-1.4053656767979659
-100.69649929048548,-0.9011454378863171,-2.416254852547391,3.9228278277559068,-3.1110180251163766
-10.698906963169993,-0.45278097426911534,-3.2001597294111908,4.2949174658985045,-4.200570103976858
-250.71328860085563,13.328578890909135,-4.134051178273101,3.5398630131857636,-1.3067951761054188
-150.714962216845,9.424181323987058,-4.688609178776283,5.130555639862367,-1.077979447288417
-70.7121663291665,6.419581588767195,-5.048898461390513,4.6298501874549665,-2.423552778856725
-220.69837329468646,4.71993524629422,-3.269574498245543,4.762965399026102,3.6204104355926385
-90.70713414748106,5.767323810214714,-4.429335952279782,5.681647173826664,1.5528057555848715
-0.708844087612915,-0.38929120826366187,-4.226177616362144,6.009587403219844,1.5321472198338497
-260.73021187265806,-0.5140109393664901,-4.19943454190397,3.8535510548433423,-1.015464650139747
-120.73694280439535,2.3051087560366863,-6.360557560982977,6.009998841840584,2.7745730522226224
