BoundaryIndex,BoundaryTime_s,IntervalToNext_s
1,10.000999999999998,67.0
2,77.00099999999999,87.99999999999999
3,165.00099999999998,53.00000000000003
4,218.001,35.0
5,253.001,29.999999999999915
6,283.0009999999999,24.0
7,307.0009999999999,60.0
8,367.0009999999999,60.0
9,427.0009999999999,21.0
10,448.0009999999999,46.0
11,494.0009999999999,89.99999999999994
12,584.0009999999999,37.0
13,621.0009999999999,
