BoundaryIndex,BoundaryTime_s,IntervalToNext_s
1,20.05,15.999999999999996
2,36.05,21.0
3,57.05,101.00000000000001
4,158.05,28.0
5,186.05,39.0
6,225.05,51.0
7,276.05,64.0
8,340.05,24.0
9,364.05,59.0
10,423.05,8.0
11,431.05,171.99999999999994
12,603.05,19.0
13,622.05,16.0
14,638.05,
