BoundaryIndex,BoundaryTime_s,IntervalToNext_s
1,42.96900000000001,9.000000000000007
2,51.969000000000015,27.999999999999993
3,79.96900000000001,25.000000000000014
4,104.96900000000002,75.0
5,179.96900000000002,16.00000000000003
6,195.96900000000005,15.0
7,210.96900000000005,63.0
8,273.96900000000005,54.0
9,327.96900000000005,
