BoundaryIndex,BoundaryTime_s,IntervalToNext_s
1,82.107,12.0
2,94.107,20.0
3,114.107,27.0
4,141.107,57.0
5,198.107,87.00000000000003
6,285.107,47.0
7,332.107,15.0
8,347.107,137.0
9,484.107,148.99999999999994
10,633.107,
