BoundaryIndex,BoundaryTime_s,IntervalToNext_s
1,39.234,48.99999999999999
2,88.234,31.0
3,119.234,69.00000000000001
4,188.234,63.0
5,251.234,47.99999999999997
6,299.234,52.0
7,351.234,
