BoundaryIndex,BoundaryTime_s,IntervalToNext_s
1,23.154,16.000000000000004
2,39.154,21.0
3,60.154,56.99999999999999
4,117.154,61.0
5,178.154,76.0
6,254.154,12.0
7,266.154,16.0
8,282.154,22.0
9,304.154,26.0
10,330.154,
