BoundaryIndex,BoundaryTime_s,IntervalToNext_s
1,24.719000000000005,69.99999999999999
2,94.719,33.00000000000003
3,127.71900000000002,11.0
4,138.71900000000002,21.0
5,159.71900000000002,78.00000000000003
6,237.71900000000005,78.0
7,315.71900000000005,
