BoundaryIndex,BoundaryTime_s,IntervalToNext_s
1,43.372,15.0
2,58.372,14.0
3,72.372,45.0
4,117.372,61.000000000000014
5,178.372,21.0
6,199.372,38.0
7,237.372,52.0
8,289.372,11.0
9,300.372,25.0
10,325.372,
