Video,r,p
12 years_6m.mp4,0.13961721891305992,0.02408199587678964
back to the future_6m.mp4,-0.06751356596703245,0.2771605091045634
Movie Task-c4,-0.154670123541517,0.000154021125136848
Movie Task-lms,-0.001908981289844374,0.9627197610908265
Movie Task-summer,-0.0852006589477423,0.03678254078377208
pulp_fiction_6m.mp4,-0.1179470112513307,0.05704136117783818
shawshank clip_6m.mp4,-0.4729183224127216,5.981574456261103e-16
the_prestige_6m.mp4,-0.17151240924897332,0.00546636804626719
