PCA,video,event_index,within_mean,across_mean,z,p,n_pairs
Mean_PCA_2,Movie Task-lms,2,-0.11377713719359646,0.2932288157973729,-3.0494695773957115,0.0,15
Mean_PCA_2,Movie Task-lms,3,0.6562309108143588,0.5702178536437896,0.47698648966852086,0.958,3
Mean_PCA_2,Movie Task-lms,4,0.5076545416505285,0.8484438932259324,-2.0879299711683776,0.0,1
Mean_PCA_2,Movie Task-lms,5,-0.5585045620812692,0.44535538691596316,-1.94919359466121,0.0,1
Mean_PCA_2,Movie Task-lms,6,-0.0033403977820993,0.00684521088195976,-0.27628716536058867,0.926,1
Mean_PCA_2,Movie Task-lms,7,0.9772606303956991,-0.25894395894155475,5.411415235228317,0.0,6
Mean_PCA_2,Movie Task-lms,8,-0.173789018040302,-0.38436447464732376,1.0605828227003709,0.28600000000000003,6
Mean_PCA_2,Movie Task-lms,10,-0.03287575991466333,0.225688692108462,-1.6306295969854465,0.0,3
Mean_PCA_2,Movie Task-lms,11,-0.07971663929969137,0.027877074209380466,-1.2400944288624127,0.22,15
Mean_PCA_2,Movie Task-lms,12,0.1814933589066331,0.2606724105481818,-0.27111014810758605,0.7140000000000001,3
Mean_PCA_2,Movie Task-lms,13,-0.3333333333333333,0.7101815285776545,-3.8390856476172353,0.0,3
