Video,Lag,Coef,pval,R2
12 years_6m.mp4,-2,0.07758062519813387,0.6959684662026907,0.006761938525192357
12 years_6m.mp4,-1,0.26294377615005265,0.17213505821222144,0.0762379195279731
12 years_6m.mp4,0,-0.021756414337752394,0.9142235553614512,0.00047334156483580525
12 years_6m.mp4,1,-0.10104023213356708,0.5636021542922806,0.014087982648092634
12 years_6m.mp4,2,0.5514413570373891,0.0005639667810956497,0.4101331639928051
back to the future_6m.mp4,-2,0.5847989728855248,0.007746037292496794,0.2701430080780004
back to the future_6m.mp4,-1,-0.18645298791272477,0.4073003926409412,0.02878921447127658
back to the future_6m.mp4,0,-0.04878092693847223,0.8090725199255597,0.002379578832976459
back to the future_6m.mp4,1,-0.2698194187645976,0.19910405110182955,0.06773935238141582
back to the future_6m.mp4,2,-0.3724205337392472,0.07479869363099668,0.13152355878902044
Movie Task-c4,-2,-0.1173258484127219,0.45765976988678103,0.014997382407891613
Movie Task-c4,-1,-0.02674232893595818,0.8697514203275671,0.0007166801865328143
Movie Task-c4,0,-0.361969843741737,0.02004320951508343,0.13102216777841758
Movie Task-c4,1,-0.23355782651982987,0.14622524789424712,0.05473500143160159
Movie Task-c4,2,0.097276231281313,0.5378456182914575,0.010343590693917437
Movie Task-lms,-2,-0.02127935007243477,0.8977074309140569,0.0004526534507354185
Movie Task-lms,-1,0.024996907317815294,0.8803226492266576,0.0006042533236442216
Movie Task-lms,0,-0.05694841858079276,0.7235950746581357,0.0032431223788531582
Movie Task-lms,1,0.03358456311319218,0.8365460540419681,0.0011343272108722546
Movie Task-lms,2,0.30218662803477436,0.06274309599473946,0.09050622178318701
Movie Task-summer,-2,0.21698729463726682,0.20183596104829307,0.043643721984717665
Movie Task-summer,-1,0.1303986141613952,0.4381793565766763,0.01589843782154199
Movie Task-summer,0,-0.28256437994447753,0.07345097964685626,0.07984262881340731
Movie Task-summer,1,0.2806671284313798,0.07426609749261623,0.08143961417314372
Movie Task-summer,2,0.25260091975175675,0.11187082399204706,0.06689461447930733
pulp_fiction_6m.mp4,-2,-0.1451243031002132,0.48334633992446674,0.021592915064784002
pulp_fiction_6m.mp4,-1,0.04015972450238825,0.8426250115897704,0.0016755256169047605
pulp_fiction_6m.mp4,0,-0.035381478661992455,0.8609204102058636,0.001251849032309127
pulp_fiction_6m.mp4,1,-0.23211020456497153,0.2534398840061446,0.05397061474671383
pulp_fiction_6m.mp4,2,0.03819844470366224,0.8531049884622885,0.0015221733134314075
shawshank clip_6m.mp4,-2,-0.007145431149848461,0.9736775110541147,4.837614085728692e-05
shawshank clip_6m.mp4,-1,-0.10965296211225839,0.6054723156745228,0.011287105613259185
shawshank clip_6m.mp4,0,-0.5367724723705245,0.0038933044944603405,0.28812468709476546
shawshank clip_6m.mp4,1,-0.25439533583174867,0.20966582545393006,0.0647526647530241
shawshank clip_6m.mp4,2,-0.09098946137694322,0.6647462206428901,0.008310170271010331
the_prestige_6m.mp4,-2,-0.10557338356813602,0.6093506183130113,0.011535248482966054
the_prestige_6m.mp4,-1,0.1749333688472776,0.38277609297363624,0.03188696929118906
the_prestige_6m.mp4,0,-0.21353538453421028,0.28486452544740876,0.045597360448172974
the_prestige_6m.mp4,1,0.13214481282199625,0.5171812634322452,0.017688609085447227
the_prestige_6m.mp4,2,-0.19749833303142894,0.34411768712511515,0.038986099327575574
