PCA,Beta_BoundaryDensity,SE,z,p,CI_lower,CI_upper,N_obs,N_groups,LogLik
Mean_PCA_1,-30.563156818029036,9.380022975389304,-3.2583243024264084,0.0011207225075246534,-48.94766402395031,-12.178649612107762,253,8,-57.92507794785399
Mean_PCA_2,0.9675332888921561,7.9651701164145035,0.12147051158371093,0.9033183700717801,-14.64391327001498,16.578979847799292,253,8,-15.147375287046657
Mean_PCA_3,2.5374292592687833,8.737938044081494,0.29039222371088697,0.7715161921058336,-14.588614606273307,19.663473124810874,253,8,-39.37215544935316
Mean_PCA_4,14.896265794682378,8.447541255730856,1.763384793720501,0.07783561271776736,-1.6606108244663638,31.45314241383112,253,8,-30.700590358833438
Mean_PCA_5,10.280388774746953,11.89371782267152,0.8643545212709454,0.3873931679838639,-13.030869799971377,33.59164734946528,253,8,-120.27823694886331
