term,estimate,se,t,p
Intercept,-0.002761005862226021,0.06296461174164746,-0.04385012129598784,0.9650238744631657
PCA4,-0.000597928234528306,0.06343936337819132,-0.009425192856425431,0.9924798954779207
KDE_z,-0.059711833861184775,0.06423860672074722,-0.9295318953718773,0.35261350360898935
PCA4:KDE_z,0.019832362584201915,0.07255051487790944,0.27335936371473746,0.784576986615407
Group Var,7.112384891342498e-07,,,
