term,estimate,se,t,p
Intercept,0.00020644747338005324,0.06209257911459977,0.0033248332783701595,0.9973471717475679
PCA3,-0.013550199450870597,0.06312548873335116,-0.21465496303890957,0.830036338300764
KDE_z,-0.056958954189317595,0.062100421600990593,-0.9172072060201443,0.3590340714709591
PCA3:KDE_z,-0.03630667219335413,0.054584473314207224,-0.665146514913871,0.5059567859102035
Group Var,7.752512700124364e-07,,,
