idno,VideoName,Focus_response,Self_response,Other_response,Knowledge_response,Absorption_response,Words_response,Past_response,Deliberate_response,Sounds_response,Future_response,Problem_response,Distracting_response,Images_response,Emotion_response,Intrusive_response,Detailed_response,ProbeVersion,ProbeNumber,Run_time,correct_per_run,correct_overall,watched_before
subject_203,back to the future_6m.mp4,8.3,3.6,9.5,8.8,8.7,5.4,9,10,5.9,7.7,1,3.4,6.7,9.7,2.6,9,3,2,230,4,16,1
subject_203,back to the future_6m.mp4,3.3,1.3,8.6,10,10,1.2,9.6,10,8,10,4.1,2,8.4,10,2,9.9,3,3,320,4,16,1
subject_203,pulp_fiction_6m.mp4,9.1,1,10,9,2.9,1,1.1,1,2.6,8.2,4.5,2.3,10,9,6.1,8,6,1,90,4,16,2
subject_203,pulp_fiction_6m.mp4,3.4,1,9.2,1,9,8.2,2.9,2.4,8.2,9,7.8,2.4,8.8,3.7,8.4,10,6,2,160,4,16,2
subject_203,pulp_fiction_6m.mp4,1.7,1,9.5,1,8,4.5,6,10,8.9,10,8.1,2.8,8.4,4.2,10,10,6,3,240,4,16,2
subject_203,the_prestige_6m.mp4,7,3.9,8.9,5.9,8.8,10,8,9,4.1,9,2.1,6,10,4.4,7.5,10,7,1,120,2,16,2
subject_203,the_prestige_6m.mp4,10,7.6,8.6,8.4,9.5,8.6,3.8,8.5,3.8,9.4,1.8,7.7,7,8.1,1.7,9.5,7,2,210,2,16,2
subject_203,the_prestige_6m.mp4,5,10,3.2,9,7,8.7,6.5,5.5,8.2,8.8,7.4,8,8.9,5.1,4.6,9,7,3,280,2,16,2
subject_204,12 years_6m.mp4,9,8.5,9.7,7.7,9.6,9.9,9.5,9.5,1.8,8.7,9.6,5,2.3,6.4,5.4,7.5,3,1,100,3,16,2
subject_204,12 years_6m.mp4,7,5.9,8.6,5.6,5.2,2.2,8.2,5.4,2,8.2,6.9,3.5,2.1,5.3,5.1,5.6,3,2,230,3,16,2
subject_204,12 years_6m.mp4,8,8.8,9,9,8.1,9,8.2,5.7,2.5,8.7,7.4,7,2,5.4,5.6,6.3,3,3,320,3,16,2
subject_204,back to the future_6m.mp4,3,4.4,1.8,2.9,1.8,2.1,2.4,2,2.8,2.8,2.5,2.2,3.3,5.1,2,2,8,1,110,3,16,1
subject_204,back to the future_6m.mp4,2.4,4.5,3,4.3,2.5,2.4,2.7,2.5,2.3,2.2,2.9,2.5,2,5,2.2,3.1,8,2,180,3,16,1
subject_204,back to the future_6m.mp4,2.3,3.6,8.4,2.1,4.6,5,2.4,4.9,2,1.2,2.3,2,3,8,3.2,4.9,8,3,260,3,16,1
subject_204,the_prestige_6m.mp4,6.6,8,9,7,7.1,9,6.2,4,2.4,7.1,5,3.9,2.3,5,4,6.6,5,1,130,3,16,2
subject_204,the_prestige_6m.mp4,3,2.3,5.4,3.5,1.9,6,3.1,3,2.6,2.2,3.1,7.4,2.7,5.4,3.7,4.8,5,2,190,3,16,2
subject_204,the_prestige_6m.mp4,2.4,2.2,5,2,4.1,6.5,2.4,3.3,2.5,3,2,2.4,1.9,6.7,2.7,3.6,5,3,300,3,16,2
subject_204,shawshank clip_6m.mp4,2.1,2.7,3.1,2.3,2.9,2.9,3.2,3.1,2,2.4,2.8,2,2.4,5.1,2,2.3,6,1,90,4,16,2
subject_204,shawshank clip_6m.mp4,7.6,7.8,6.3,5,4.2,6,2.7,6.3,1.9,7.5,5.8,2.9,3,6,2.7,5.9,6,2,160,4,16,2
subject_204,shawshank clip_6m.mp4,2.9,3,7.2,2.2,2.4,3.6,2.4,2,2,3,2.6,3,2.2,6.5,2.8,2.2,6,3,240,4,16,2
subject_204,pulp_fiction_6m.mp4,3.4,3,3,3,2.1,2.5,2,4,2.2,2.9,2.7,1.5,2.3,5.7,2.7,3,1,1,60,3,16,2
