term,estimate,se,t,p
Intercept,0.09529244356411729,0.11935706232011707,0.7983812747379943,0.4246492663447321
Phase[T.LatePre],-0.034805596796432706,0.16788040704462306,-0.20732375748398849,0.8357570214132634
Phase[T.Mid],-0.18751138300288292,0.15053726497153141,-1.2456143868320166,0.2129059979302903
PCA1,-0.05280935466725902,0.11352595048104835,-0.46517430106057417,0.6418066407188111
PCA1:Phase[T.LatePre],0.015348222715862211,0.16289064334663755,0.09422409047277568,0.9249311484738905
PCA1:Phase[T.Mid],-0.05157194422070804,0.14840900087639347,-0.3474987629871665,0.7282166476696221
Group Var,1.7707273541490963e-08,,,
