Time(s),VisualChange
0.0,0.018253445625305176
1.0,0.04430854320526123
2.0,0.05859130620956421
3.0,0.04733121395111084
4.0,0.042889297008514404
5.0,0.014318227767944336
6.0,0.09535235166549683
7.0,0.0073435306549072266
8.0,0.009347677230834961
9.0,0.006181597709655762
10.0,0.11539584398269653
11.0,0.0061776041984558105
12.0,0.013577103614807129
13.0,0.005014955997467041
14.0,0.005708575248718262
15.0,0.12386637926101685
16.0,0.13306844234466553
17.0,0.0034212470054626465
18.0,0.1423168182373047
19.0,0.14456796646118164
20.0,0.0016891956329345703
21.0,0.09090816974639893
22.0,0.13329946994781494
23.0,0.0010764598846435547
24.0,0.18973571062088013
25.0,0.0009933710098266602
26.0,0.0006573796272277832
27.0,0.0019892454147338867
28.0,0.0017604827880859375
29.0,0.0026465654373168945
30.0,0.17894035577774048
31.0,0.0017987489700317383
32.0,0.12527000904083252
33.0,0.0006870031356811523
34.0,0.0005578398704528809
35.0,0.0016313791275024414
36.0,0.12111401557922363
37.0,0.12626415491104126
38.0,0.0032411813735961914
39.0,0.0012507438659667969
40.0,0.0007271766662597656
41.0,0.0013017058372497559
42.0,0.0010808110237121582
43.0,0.0012530088424682617
44.0,0.0060770511627197266
45.0,0.09283924102783203
46.0,0.08187133073806763
47.0,0.02785247564315796
48.0,0.13478624820709229
49.0,0.12250947952270508
50.0,0.12435251474380493
51.0,0.001513838768005371
52.0,0.07016873359680176
53.0,0.0047948360443115234
54.0,0.008603394031524658
55.0,0.040318965911865234
56.0,0.0031340718269348145
57.0,0.002519071102142334
58.0,0.0031250715255737305
59.0,0.13314461708068848
60.0,0.14170539379119873
61.0,0.14475440979003906
62.0,0.0018777847290039062
63.0,0.0076209306716918945
64.0,0.15555667877197266
65.0,0.1329594850540161
66.0,0.007779300212860107
67.0,0.14377927780151367
68.0,0.011509835720062256
69.0,0.14349579811096191
70.0,0.005767822265625
71.0,0.1433202624320984
72.0,0.008065342903137207
73.0,0.005794048309326172
74.0,0.15122312307357788
75.0,0.004478633403778076
76.0,0.16803699731826782
77.0,0.014752864837646484
78.0,0.014602065086364746
79.0,0.16540104150772095
80.0,0.0034371614456176758
81.0,0.19375205039978027
82.0,0.004641294479370117
83.0,0.001592397689819336
84.0,0.0005564689636230469
85.0,0.000993967056274414
86.0,0.0009139776229858398
87.0,0.0009381771087646484
88.0,0.0006930232048034668
89.0,0.0008341073989868164
90.0,0.0008185505867004395
91.0,0.0008425712585449219
92.0,0.000702977180480957
93.0,0.0009721517562866211
94.0,0.036939144134521484
95.0,0.01083230972290039
96.0,0.015538811683654785
97.0,0.15394705533981323
98.0,0.012059211730957031
99.0,0.12716519832611084
100.0,0.0017989873886108398
101.0,0.12039786577224731
102.0,0.007866382598876953
103.0,0.014853179454803467
104.0,0.0021210312843322754
105.0,0.13079845905303955
106.0,0.004843235015869141
107.0,0.0035839080810546875
108.0,0.0028627514839172363
109.0,0.06537693738937378
110.0,0.0047991275787353516
111.0,0.001651167869567871
112.0,0.00162428617477417
113.0,0.12127888202667236
114.0,0.1608462929725647
115.0,0.0013204216957092285
116.0,0.001465141773223877
117.0,0.0013862252235412598
118.0,0.0007957220077514648
119.0,0.0016665458679199219
120.0,0.013508319854736328
121.0,0.005485057830810547
122.0,0.014066040515899658
123.0,0.0010559558868408203
124.0,0.001512289047241211
125.0,0.1829315423965454
126.0,0.14598435163497925
127.0,0.010334193706512451
128.0,0.008921980857849121
129.0,0.006852269172668457
130.0,0.004457354545593262
131.0,0.0021420717239379883
132.0,0.0022929906845092773
133.0,0.003908932209014893
134.0,0.0017233490943908691
135.0,0.002837955951690674
136.0,0.15166616439819336
137.0,0.007680296897888184
138.0,0.00822746753692627
139.0,0.0035544633865356445
140.0,0.003710925579071045
141.0,0.00461423397064209
142.0,0.17913615703582764
143.0,0.0006808638572692871
144.0,0.0005898475646972656
145.0,0.0007715225219726562
146.0,0.000296175479888916
147.0,0.0007916688919067383
148.0,0.0009824037551879883
149.0,0.0007759332656860352
150.0,0.1652299165725708
151.0,0.07438737154006958
152.0,0.02091503143310547
153.0,0.02261275053024292
154.0,0.05980026721954346
155.0,0.004181385040283203
156.0,0.17568880319595337
157.0,0.17789596319198608
158.0,0.06355005502700806
159.0,0.003514111042022705
160.0,0.1328064203262329
161.0,0.0019016861915588379
162.0,0.10561752319335938
163.0,0.012772798538208008
164.0,0.008403658866882324
165.0,0.011788666248321533
166.0,0.002869725227355957
167.0,0.07897591590881348
168.0,0.004251837730407715
169.0,0.004575073719024658
170.0,0.07569330930709839
171.0,0.08340537548065186
172.0,0.021815061569213867
173.0,0.12079626321792603
174.0,0.0011820793151855469
175.0,0.0015947818756103516
176.0,0.09914672374725342
177.0,0.1701037883758545
178.0,0.0031092166900634766
179.0,0.004227161407470703
180.0,
