Time(s),VisualChange
0.0,0.03323608636856079
1.0,0.004578232765197754
2.0,0.42234569787979126
3.0,0.08182960748672485
4.0,0.033057332038879395
5.0,0.33961355686187744
6.0,0.004288971424102783
7.0,0.0036670565605163574
8.0,0.3204772472381592
9.0,0.042497217655181885
10.0,0.01565992832183838
11.0,0.09245383739471436
12.0,0.005822241306304932
13.0,0.006631910800933838
14.0,0.16882139444351196
15.0,0.004416108131408691
16.0,0.0009707808494567871
17.0,0.0009387731552124023
18.0,0.08538222312927246
19.0,0.33550918102264404
20.0,0.0013914704322814941
21.0,0.006643772125244141
22.0,0.015729963779449463
23.0,0.24782109260559082
24.0,0.060633957386016846
25.0,0.0529942512512207
26.0,0.061795830726623535
27.0,0.04601109027862549
28.0,0.04754817485809326
29.0,0.04657614231109619
30.0,0.05302286148071289
31.0,0.14837980270385742
32.0,0.19126713275909424
33.0,0.11219841241836548
34.0,0.303810179233551
35.0,0.24395281076431274
36.0,0.09100431203842163
37.0,0.01895815134048462
38.0,0.006050765514373779
39.0,0.007485032081604004
40.0,0.005958914756774902
41.0,0.2527981400489807
42.0,0.057209908962249756
43.0,0.05641329288482666
44.0,0.04082536697387695
45.0,0.0792921781539917
46.0,0.07933342456817627
47.0,0.0038039684295654297
48.0,0.0343511700630188
49.0,0.06462657451629639
50.0,0.16561168432235718
51.0,0.10320127010345459
52.0,0.13129949569702148
53.0,0.07578569650650024
54.0,0.03605473041534424
55.0,0.04012399911880493
56.0,0.009357988834381104
57.0,0.23096919059753418
58.0,0.04107391834259033
59.0,0.02924489974975586
60.0,0.039255619049072266
61.0,0.020938098430633545
62.0,0.021368205547332764
63.0,0.19928407669067383
64.0,0.029715776443481445
65.0,0.024857521057128906
66.0,0.02120792865753174
67.0,0.21009039878845215
68.0,0.21463167667388916
69.0,0.06269538402557373
70.0,0.11669814586639404
71.0,0.017901301383972168
72.0,0.0072672367095947266
73.0,0.011537790298461914
74.0,0.09710425138473511
