Component,Delta_HighMinusLow,t,p,Num_Segments,WindowUsed_s,Num_Videos
Mean_PCA_1,-0.28078253085720367,-4.556824975786235,6.983684284839571e-06,54,22,8
Mean_PCA_2,0.2161915841519997,4.390062042268153,1.430953827653674e-05,54,22,8
Mean_PCA_3,0.023555151111033915,0.3772793672623355,0.7061759746455838,54,22,8
Mean_PCA_4,0.21447577445128885,4.109898007848382,4.7738304206437516e-05,54,22,8
Mean_PCA_5,0.11694832963552956,1.8564676744677313,0.06415031302662089,54,22,8
