Time(s),BoundaryDensity
0.107,0.0006603327602072377
1.107,0.000612083032671468
2.107,0.0004848212610423195
3.107,0.0003318876086939969
4.107,0.00020733789329934024
5.107,0.0001447841758773197
6.107,0.0001554773294546177
7.107,0.00023456573997938005
8.107,0.0003623665988451866
9.107,0.000501924057703712
10.107,0.0006047838641400018
11.107,0.0006303741622948983
12.107,0.0005677859125193243
13.107,0.00044172594859146483
14.107,0.0002966350848251055
15.107,0.00017179221511199949
16.107,8.570811678904092e-05
17.107,3.6793446179276954e-05
18.107,1.3583177897250615e-05
19.107,4.359767395574138e-06
20.107,1.4766610898065128e-06
21.107,1.5945915268916668e-06
22.107,4.899908397736162e-06
23.107,1.5256482623845657e-05
24.107,4.1307382579305254e-05
25.107,9.659520050390964e-05
26.107,0.00019559878072521514
27.107,0.0003442149509692941
28.107,0.0005285834582705089
29.107,0.0007113151547306405
30.107,0.0008422396733666692
31.107,0.0008806349241364153
32.107,0.0008161133227415532
33.107,0.000675207255123884
34.107,0.000509850256964533
35.107,0.00037432755053174935
36.107,0.00030226713810278935
37.107,0.0002940452740001304
38.107,0.00032016469094509585
39.107,0.00033936963380990626
40.107,0.0003220911962555643
41.107,0.00026483262858268346
42.107,0.00018655165556620478
43.107,0.00011217297624963647
44.107,5.750882290389859e-05
45.107,2.5130981820791672e-05
46.107,9.372761017630418e-06
47.107,3.055299969998804e-06
48.107,1.206575048202134e-06
49.107,1.7976483126290404e-06
50.107,5.525831456573985e-06
51.107,1.5929656325778647e-05
52.107,3.936165521656552e-05
53.107,8.291062852444717e-05
54.107,0.00014883417539378208
55.107,0.00022773371580784907
56.107,0.0002972194739220958
57.107,0.0003316406557512008
58.107,0.00031891355821409305
59.107,0.0002713477342272363
60.107,0.0002204467772284078
61.107,0.00019900219048120824
62.107,0.00022323365017048582
63.107,0.00028585556141508305
64.107,0.00036310354187485145
65.107,0.00043070121541785583
66.107,0.0004776720652288507
67.107,0.0005082516441456451
68.107,0.0005336125259014562
69.107,0.0005650118900575055
70.107,0.0006150720853969052
71.107,0.0007015044850044275
72.107,0.0008453147546421417
73.107,0.0010637179537461854
74.107,0.0013634043906024583
75.107,0.001739283607409436
76.107,0.00218159707839431
77.107,0.002686655188129756
78.107,0.003254850532100187
79.107,0.003864496210277485
80.107,0.004440125271735641
81.107,0.004855146169345682
82.107,0.004983942670928588
83.107,0.004768715260917777
84.107,0.0042502324280000005
85.107,0.0035467857435311657
86.107,0.002809078003441855
87.107,0.0021858543020293296
88.107,0.001808728646878752
89.107,0.0017803785723842956
90.107,0.0021495099317058917
91.107,0.0028719905776599755
92.107,0.003780618383072405
93.107,0.00460602602586307
94.107,0.005075147810924813
95.107,0.005043732054693183
96.107,0.004562360243269148
97.107,0.003821577093828443
98.107,0.0030350936554208985
99.107,0.002361623480831307
100.107,0.0018935099050811095
101.107,0.0016652589112462232
102.107,0.0016478200883685943
103.107,0.001748211570304117
104.107,0.0018438343273681466
105.107,0.0018444783447252354
106.107,0.0017467787827579566
107.107,0.0016500915929108509
108.107,0.0017224165611210084
109.107,0.0021233203791765696
110.107,0.0029080784016555276
111.107,0.003957499304140525
112.107,0.00498959737938195
113.107,0.005679521490451298
114.107,0.005831710052733317
115.107,0.005480262480776636
116.107,0.00483437909665032
117.107,0.004119739474231721
118.107,0.0034552114958715497
119.107,0.0028518818454140154
120.107,0.0022943556208676373
121.107,0.0018025349718683702
122.107,0.0014236856785822894
123.107,0.0011889974182661231
124.107,0.0010917382003599917
125.107,0.0011036027989421782
126.107,0.0012054518734037581
127.107,0.0014040962183086972
128.107,0.0017223600096338873
129.107,0.002166289250419057
130.107,0.002692089573518665
131.107,0.0032085016321954972
132.107,0.0036303221500522957
133.107,0.003945332088972107
134.107,0.004228021222541561
135.107,0.004579327079690971
136.107,0.00504858114050629
137.107,0.005607578421175604
138.107,0.006181327807049272
139.107,0.006681149662226723
140.107,0.007003868449702598
141.107,0.007024600693981973
142.107,0.00663333569059056
143.107,0.005812363570099881
144.107,0.004685107031761399
145.107,0.003475472494523408
146.107,0.0024003467654150038
147.107,0.0015806931693869192
148.107,0.0010299139010633818
149.107,0.0007022069088505447
150.107,0.000543695693462631
151.107,0.0005112385144145965
152.107,0.0005658453325265411
153.107,0.0006642773208135362
154.107,0.0007604200943979232
155.107,0.0008130877894261775
156.107,0.0007950093899226755
157.107,0.0007009531008616378
158.107,0.0005508513994913627
159.107,0.0003820736770631828
160.107,0.000232331898198913
161.107,0.00012434694376074195
162.107,6.246938979467122e-05
163.107,4.068947289495861e-05
164.107,5.301323614422985e-05
165.107,9.782619120991228e-05
166.107,0.00017443019197582645
167.107,0.00027684802110475895
168.107,0.00039288851888274
169.107,0.0005117539682526854
170.107,0.0006332181202547511
171.107,0.0007664602382168582
172.107,0.0009152228411714113
173.107,0.0010607212394929755
174.107,0.001159282873293634
175.107,0.0011620188267091071
176.107,0.0010459628302175177
177.107,0.0008337939536229598
178.107,0.0005853885768598839
179.107,0.0003673027311244582
180.107,0.00022399524573364174
181.107,0.00016847163636631216
182.107,0.00018968490207351142
183.107,0.0002640439621495606
184.107,0.0003650356140719042
185.107,0.00047195029837071453
186.107,0.0005748128928608788
187.107,0.0006690567569262985
188.107,0.0007443364513283935
189.107,0.0007861652050277764
190.107,0.0008017718870426553
191.107,0.0008534072377523483
192.107,0.0010644379706311706
193.107,0.0015760936188908697
194.107,0.0024641130171266143
195.107,0.003656312198679753
196.107,0.0049105048062959965
197.107,0.005893055243670058
198.107,0.006330503210294088
199.107,0.006140025287988324
200.107,0.005453063248896929
201.107,0.004527752075521409
202.107,0.0036185376677380534
203.107,0.0028810505893401444
204.107,0.002353205320495399
205.107,0.0020035594287535776
206.107,0.0017973833110197616
207.107,0.0017246037439620516
208.107,0.0017740726844563191
209.107,0.0018938141638912725
210.107,0.0019921347106173653
211.107,0.0019921406365458463
212.107,0.0018947728626467239
213.107,0.001789788377241679
214.107,0.001794150096721509
215.107,0.001958170470927414
216.107,0.0022124538060392194
217.107,0.002403728788442691
218.107,0.002398009006750531
219.107,0.002172570778442538
220.107,0.0018294307458441227
221.107,0.0015306206636274227
222.107,0.001408710301469614
223.107,0.0015030687764213519
224.107,0.001743771385505062
225.107,0.0019882948834576
226.107,0.002099147886165643
227.107,0.0020187058227715557
228.107,0.0017864808529757291
229.107,0.0014888163644138036
230.107,0.0011929654745105143
231.107,0.0009242505231838178
232.107,0.0006912140431306149
233.107,0.0005173561713256625
234.107,0.00044554377554707276
235.107,0.00051644117083462
236.107,0.0007408296689491433
237.107,0.0010824513027595383
238.107,0.0014606935426617917
239.107,0.0017743016166625895
240.107,0.0019354935057090028
241.107,0.001898249881391246
242.107,0.0016713879204190087
243.107,0.0013145907845604026
244.107,0.00091689317125268
245.107,0.000562649722558859
246.107,0.0003016033357175983
247.107,0.00014041208653163152
248.107,5.660315253528808e-05
249.107,2.0130225331698984e-05
250.107,8.206163887130498e-06
251.107,1.0386452256775756e-05
252.107,2.9047963196725478e-05
253.107,7.997681536409439e-05
254.107,0.00019197797416647955
255.107,0.00039888448806718217
256.107,0.0007182889118503498
257.107,0.0011228670441369116
258.107,0.0015261141945522294
259.107,0.0018061928733691384
260.107,0.0018665496808971894
261.107,0.0016959463145783773
262.107,0.0013812700220373658
263.107,0.0010616469344665379
264.107,0.0008615894020669131
265.107,0.0008538761977045499
266.107,0.0010658977426842194
267.107,0.0014965182897969458
268.107,0.0021060373704538506
269.107,0.0027868226868835912
270.107,0.0033656827768812065
271.107,0.003672481557715339
272.107,0.0036392906993652093
273.107,0.0033473614497398943
274.107,0.0029748137706764356
275.107,0.002683944049328553
276.107,0.0025384279653150833
277.107,0.0025129027452612577
278.107,0.002579210523282708
279.107,0.0027897389157068974
280.107,0.0032776507838618756
281.107,0.004156237331643823
282.107,0.005380294892336986
283.107,0.006676914408946458
284.107,0.007625141209300598
285.107,0.00786314683393919
286.107,0.007291129531133819
287.107,0.006123805183143917
288.107,0.00476096003732571
289.107,0.0035816200620489755
290.107,0.0027978277877302653
291.107,0.0024261489911009257
292.107,0.002347930678511158
293.107,0.0023996769092946707
294.107,0.0024500859012405785
295.107,0.002442933777527601
296.107,0.00240063443107705
297.107,0.0023946891865947732
298.107,0.002495855122789318
299.107,0.002719256427831074
300.107,0.002987933456429521
301.107,0.003149056583391098
302.107,0.0030575539559360935
303.107,0.002680764314445886
304.107,0.0021358530145240925
305.107,0.001617870189820556
306.107,0.001275949241717545
307.107,0.0011389025461375796
308.107,0.0011370514560230395
309.107,0.0011822362697518495
310.107,0.0012331063292052302
311.107,0.0013022558779945406
312.107,0.0014167884795539083
313.107,0.0015769944139918054
314.107,0.001746671974724454
315.107,0.0018728215138965466
316.107,0.0019115541712879294
317.107,0.0018448682090097621
318.107,0.001689087889340546
319.107,0.0015001040282202132
320.107,0.0013725775768681039
321.107,0.0014200353909179866
322.107,0.0017253212594677367
323.107,0.002277756619921117
324.107,0.002947113336385527
325.107,0.003538237561023774
326.107,0.003905809037055376
327.107,0.0040443788910607265
328.107,0.004081800550478813
329.107,0.004184617197445099
330.107,0.004443727001828488
331.107,0.004804580787727181
332.107,0.005077827754294085
333.107,0.005038164175015906
334.107,0.004567415076215079
335.107,0.003743605652289028
336.107,0.002799951504697965
337.107,0.0019844244243961955
338.107,0.0014339200053860648
339.107,0.0011500716136088084
340.107,0.0010690893421642098
341.107,0.0011555763698416544
342.107,0.0014538886455460532
343.107,0.002062842342431407
344.107,0.003034572011182117
345.107,0.004249796954037127
346.107,0.0053757520221067445
347.107,0.0059913964297434
348.107,0.00582884904439611
349.107,0.0049466365821586025
350.107,0.0036866797177658012
351.107,0.0024573676597788724
352.107,0.0015241536390162532
353.107,0.000943461139345228
354.107,0.0006316185170974154
355.107,0.0004738817749250502
356.107,0.00039333623878885505
357.107,0.00035893065520175855
358.107,0.0003584188948240924
359.107,0.0003746991727326143
360.107,0.00038637836464148556
361.107,0.0003842089404696956
362.107,0.0003801167186966698
363.107,0.000396927968249174
364.107,0.0004495222698650424
365.107,0.000535419999293696
366.107,0.0006383301673139828
367.107,0.0007337320851977666
368.107,0.0007910820899073332
369.107,0.0007812526956980601
370.107,0.0006943918748467957
371.107,0.0005545554318853831
372.107,0.0004127278784223081
373.107,0.00031967821808051724
374.107,0.00029955706029296213
375.107,0.00034239688069547994
376.107,0.00041668006769954747
377.107,0.0004900556162273061
378.107,0.000544075774343648
379.107,0.0005760728958833683
380.107,0.0005921632432273331
381.107,0.0005999930216178838
382.107,0.0006051758215901127
383.107,0.0006102407869016315
384.107,0.0006153302695320784
385.107,0.0006210806401579759
386.107,0.0006323991664794171
387.107,0.0006598666484834032
388.107,0.0007153878359326025
389.107,0.0008022457473281305
390.107,0.0009073828306871168
391.107,0.0010060690926784511
392.107,0.001076801829350549
393.107,0.0011105069264275246
394.107,0.0011046829687296994
395.107,0.0010531880155712327
396.107,0.000947460932878526
397.107,0.000788880630296392
398.107,0.0005977633541821311
399.107,0.00040874378056247646
400.107,0.0002565300312092877
401.107,0.0001635156419420178
402.107,0.0001358557088307197
403.107,0.00016533315279582307
404.107,0.0002318745508946624
405.107,0.00030744533042261494
406.107,0.00036571984894710063
407.107,0.00039500220875892734
408.107,0.00040257035870552507
409.107,0.00040301352938023786
410.107,0.0004004929693484315
411.107,0.0003837021886495045
412.107,0.0003389435022426105
413.107,0.00026654540572128207
414.107,0.00018363053140118955
415.107,0.00011294326893415983
416.107,7.100961904159308e-05
417.107,6.507085008800032e-05
418.107,9.581272948892705e-05
419.107,0.00015791406347745012
420.107,0.00023688028184223016
421.107,0.00030928695289873364
422.107,0.00035292657115520916
423.107,0.00036184367362897463
424.107,0.0003514733776457218
425.107,0.00034534545395435826
426.107,0.0003535497867602114
427.107,0.0003636446282502871
428.107,0.00035348725117341273
429.107,0.00031381333127062825
430.107,0.0002594386430957988
431.107,0.00021983272581987173
432.107,0.00021803407867062335
433.107,0.0002541054787764376
434.107,0.00030382993359642194
435.107,0.0003332035468557697
436.107,0.00031964245200266606
437.107,0.0002657603502245757
438.107,0.00019695528885428447
439.107,0.00014735521101793894
440.107,0.00014595681136606825
441.107,0.00020834185747937688
442.107,0.0003301315451937473
443.107,0.0004809312721045096
444.107,0.0006079990139237219
445.107,0.0006581999000407468
446.107,0.0006086024853736454
447.107,0.0004811864321746179
448.107,0.000328211236008248
449.107,0.00020207174883447214
450.107,0.00013507033372003215
451.107,0.00013932297443639853
452.107,0.00021635689986421124
453.107,0.0003619775995008487
454.107,0.000562819691355756
455.107,0.0007910318033825196
456.107,0.0010046946374831745
457.107,0.001157554754021252
458.107,0.0012167710268249621
459.107,0.0011810746675901664
460.107,0.0010871275418605291
461.107,0.0009970225406451402
462.107,0.0009724998187767531
463.107,0.001047576985489192
464.107,0.0012087176228113652
465.107,0.0013924257257667883
466.107,0.0015109280638849053
467.107,0.0014995916549629985
468.107,0.0013542293951430814
469.107,0.0011284439345588832
470.107,0.0008957995826468143
471.107,0.0007089409792148577
472.107,0.0005813178972956218
473.107,0.0004952627515273405
474.107,0.0004273681119876974
475.107,0.00037941670317873105
476.107,0.0004044616293770416
477.107,0.0006202659581024323
478.107,0.0011974025103141444
479.107,0.0022969527658630866
480.107,0.003946457873084074
481.107,0.005912611589706482
482.107,0.007700392532816065
483.107,0.00875962740096219
484.107,0.008794683861968595
485.107,0.007936038266881048
486.107,0.006629259029666168
487.107,0.005344700975652743
488.107,0.004343221502310444
489.107,0.003636874986442731
490.107,0.0031026403276739308
491.107,0.0026209881562305037
492.107,0.0021495700184776837
493.107,0.0017228336146846782
494.107,0.0014140044520143922
495.107,0.0012929660397812384
496.107,0.0013928682723517035
497.107,0.001688687466715572
