Time(s),BoundaryDensity
0.05,0.0004369067611666167
1.05,0.00047884085281216763
2.05,0.0004601873158815811
3.05,0.0003933620771576776
4.05,0.0003127220645884191
5.05,0.0002595148297731897
6.05,0.00026542132250491
7.05,0.0003433371166746553
8.05,0.0004883056411828858
9.05,0.0006854268869010635
10.05,0.0009171360445525652
11.05,0.001163249531293621
12.05,0.0013972390504054632
13.05,0.0015935756102943505
14.05,0.0017550139923996188
15.05,0.0019400736366272128
16.05,0.0022488192055294784
17.05,0.002749727827057023
18.05,0.003395169436263311
19.05,0.004007844231438699
20.05,0.004369434250222965
21.05,0.004348541848516183
22.05,0.003969574932299683
23.05,0.003381358439894335
24.05,0.002764706652335127
25.05,0.0022483579629509172
26.05,0.0018788890253435828
27.05,0.0016463251480499097
28.05,0.0015305928511170617
29.05,0.0015271401441736363
30.05,0.0016399443225688104
31.05,0.001864531207304934
32.05,0.0021818588578211623
33.05,0.0025559522921547117
34.05,0.002922467015491258
35.05,0.003182869074520616
36.05,0.003232287896294606
37.05,0.0030160846389497937
38.05,0.002569300017915047
39.05,0.002001165609574447
40.05,0.001437000990200278
41.05,0.0009637605578713502
42.05,0.0006122184092933502
43.05,0.0003729677118900305
44.05,0.00022251478075803287
45.05,0.00013996275798663113
46.05,0.00011001277670887223
47.05,0.00011875308775148847
48.05,0.00015106789858605364
49.05,0.00019622629465126815
50.05,0.0002632210416925593
51.05,0.0003987519135556504
52.05,0.0006905338980750574
53.05,0.0012352149215666148
54.05,0.0020659056612744938
55.05,0.0030736838199428426
56.05,0.003994211320633819
57.05,0.004510199753902408
58.05,0.0044265203979868386
59.05,0.0037890770760387054
60.05,0.002848875050379637
61.05,0.0019050591247611736
62.05,0.001156210332045921
63.05,0.0006552187576307726
64.05,0.0003581056371961285
65.05,0.00019611125253028242
66.05,0.0001184377898703881
67.05,0.00010032787807574854
68.05,0.00013632217133548158
69.05,0.0002351219259416658
70.05,0.00041850366235355674
71.05,0.0007150993655908411
72.05,0.0011377458344590562
73.05,0.0016484410494428394
74.05,0.002141127255249289
75.05,0.0024765119993090455
76.05,0.002561264829174671
77.05,0.0024112763113498183
78.05,0.0021413156982359968
79.05,0.0018879449683795529
80.05,0.0017285641052427845
81.05,0.0016518793060701447
82.05,0.001586746102328148
83.05,0.0014593051113852343
84.05,0.0012410479850103794
85.05,0.0009637639267662138
86.05,0.0007003845593475115
87.05,0.0005304077892370704
88.05,0.0005111271139978515
89.05,0.0006637200175430444
90.05,0.0009731041400832713
91.05,0.0013987135784457154
92.05,0.001889289355289246
93.05,0.0023872046203823037
94.05,0.0028165731486781034
95.05,0.003077524045309397
96.05,0.0030773947863943223
97.05,0.0027900559320726197
98.05,0.0022893170736170473
99.05,0.0017159680467507322
100.05,0.0012016159311703752
101.05,0.0008114448239935193
102.05,0.0005421109967721076
103.05,0.00035818778591253117
104.05,0.00022761801044507763
105.05,0.00013402360424670127
106.05,7.0923068562374e-05
107.05,3.313156597803485e-05
108.05,1.3814176720626021e-05
109.05,6.249647827948755e-06
110.05,6.31882932183234e-06
111.05,1.3523255812340382e-05
112.05,3.0169035218463598e-05
113.05,5.8697195050053654e-05
114.05,9.774235839168005e-05
