Time(s),BoundaryDensity
5.372,0.0012460811440877472
6.372,0.001474542798234577
7.372,0.0016705239457807666
8.372,0.0018833100549992586
9.372,0.0021544212321597273
10.372,0.002483404605364287
11.372,0.0028256454920139295
12.372,0.003115198327203441
13.372,0.00329243719046066
14.372,0.003327188572311348
15.372,0.003235374126957201
16.372,0.0030801373234997436
17.372,0.0029470928728493567
18.372,0.002900491819042347
19.372,0.0029454818586743727
20.372,0.0030206280391449243
21.372,0.003026512300766357
22.372,0.002875417912484311
23.372,0.002535256196381608
24.372,0.002044471455149574
25.372,0.001492414631547087
26.372,0.0009796579171282144
27.372,0.0005822439434338084
28.372,0.000339301075700277
29.372,0.0002680021300745931
30.372,0.00039046800853271033
31.372,0.0007451599149350601
32.372,0.0013624760947612109
33.372,0.0022139261136041987
34.372,0.003179228973284759
35.372,0.004079772464752759
36.372,0.004779167768134686
37.372,0.005284449541215564
38.372,0.005758917325052066
39.372,0.00640940895045237
40.372,0.007306287421043537
41.372,0.00826811055768717
42.372,0.008924128251855625
43.372,0.008935684499778924
44.372,0.008211550559133295
45.372,0.0069495572804914255
46.372,0.005495212442367475
47.372,0.004155819233732802
48.372,0.0031016398288823957
49.372,0.0023760293474186546
50.372,0.0019615208250328975
51.372,0.0018481328921113496
52.372,0.0020688771623921394
53.372,0.0026760678518057248
54.372,0.0036599812407257623
55.372,0.004867970978154397
56.372,0.006007624086743055
57.372,0.006757830221842963
58.372,0.006914897519464591
59.372,0.006473046163500305
60.372,0.0056027561233697966
61.372,0.004562925327194172
62.372,0.0035992802740381306
63.372,0.0028670834945390728
64.372,0.0024094070974470627
65.372,0.0022063449019350794
66.372,0.002261521889327464
67.372,0.0026447835248794745
68.372,0.0034284366256916517
69.372,0.004549769219302968
70.372,0.005727565467779078
71.372,0.006547003351604689
72.372,0.0066852261295854455
73.372,0.0061071727013399385
74.372,0.00507541531072744
75.372,0.003979275713465977
76.372,0.003124681633167958
77.372,0.0026184896297011583
78.372,0.0023823255579617066
79.372,0.002250325140150164
80.372,0.0020798070819555807
81.372,0.0018166931488507647
82.372,0.0014930778580096828
83.372,0.0011769960823978499
84.372,0.0009179857680059505
85.372,0.0007229845507464035
86.372,0.0005684410063656778
87.372,0.00042918364904491116
88.372,0.00029805409892127646
89.372,0.0001843542286705543
90.372,9.958716166728911e-05
91.372,4.658560491594945e-05
92.372,1.9331620644347556e-05
93.372,9.386288081090083e-06
