time,rolling_r_60s
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,0.12809926527594484
60,0.12158457582813215
61,0.11382283292266251
62,0.10712689138976426
63,0.10077089651290524
64,0.08853787809589199
65,0.06245311337173783
66,0.01932301357151465
67,-0.034894048211133864
68,-0.08559615182478056
69,-0.11843438492033165
70,-0.130149637886641
71,-0.12752706660278063
72,-0.11980354346357837
73,-0.11524929437554998
74,-0.12042095746042324
75,-0.13854791224497207
76,-0.16840018906266607
77,-0.20552401358051628
78,-0.24436320872610792
79,-0.278981627723672
80,-0.3031606588276234
81,-0.3120049111207951
82,-0.3046615337078078
83,-0.28548262095641896
84,-0.2618099693097813
85,-0.24016843921138045
86,-0.22412135402691363
87,-0.21441149333339038
88,-0.20977269394792733
89,-0.2073807840902042
90,-0.20319274954420966
91,-0.19289881008108137
92,-0.1737707247604925
93,-0.14664165006977178
94,-0.11632110619624261
95,-0.08971552439777312
96,-0.0731675111092352
97,-0.07099495234604014
98,-0.08493299827261055
99,-0.11250713745512901
100,-0.14360609733995153
101,-0.16017756451990783
102,-0.1483463792685734
103,-0.11448213144153647
104,-0.0791283321632119
105,-0.05655655902066831
106,-0.04609423862506448
107,-0.038758149301839045
108,-0.029446275710354703
109,-0.022080942121966766
110,-0.022720301434601475
111,-0.030183327068585737
112,-0.036230016068963075
113,-0.034349199657074586
114,-0.025527411668557872
115,-0.016983913854252623
116,-0.017819069681564267
117,-0.03335608961022577
118,-0.060820892056665826
119,-0.09169804143818033
120,-0.11925110623929776
121,-0.14304654367167044
122,-0.1671336458974269
123,-0.19428189414540248
124,-0.22129743370645105
125,-0.24034473571453563
126,-0.24538282188970845
127,-0.23668174212344276
128,-0.21951821136778218
129,-0.20008476198868516
130,-0.18251387525774523
131,-0.1677720718438459
132,-0.15381902814784892
133,-0.1364871798829871
134,-0.11110915204401864
135,-0.07489429417005611
136,-0.028500092518598294
137,0.024827546860653006
138,0.08097598177549231
139,0.13491245268870586
140,0.18028982615694272
141,0.21177498066345618
142,0.22862309248242063
143,0.23536916273046926
144,0.23882939693485852
145,0.24404927705884027
146,0.2523312926186728
147,0.26239925451621027
148,0.2729658003135981
149,0.28389432823865063
150,0.29486772402657935
151,0.30378667866940484
152,0.3080867938934824
153,0.3080522175133517
154,0.30730580228122556
155,0.3094628867195431
156,0.31534331371820407
157,0.3231834350366146
158,0.33019208659321986
159,0.3334940960763295
160,0.3305130301768927
161,0.31972267323469744
162,0.30194951177770113
163,0.2813360162310295
164,0.26390046812247614
165,0.25224303582843965
