Time,Speed_z,BoundaryDensity_z,GradBoundary,EventBoundary,RollingCorr_60s
0,-1.2840003853743898,1.7214391309266555,0,1,
1,-0.511112828443965,0.26333885956398007,0,0,
2,0.19120593258982946,0.05415896433978756,0,0,
3,0.23641865717999502,1.1371059864702078,0,0,
4,0.20859137041184145,-1.2471175908052048,0,0,
5,0.710026549198322,-0.6184803291906725,1,0,
6,0.9539086079275039,1.8973643855310551,1,1,
7,0.4931300038131392,-0.8007746567473933,0,0,
8,-0.35267001510419105,-1.549954573508796,0,0,
9,-0.9075304577779444,-0.1408395639560039,0,0,
10,-0.7346385259263706,-0.5221121432233522,0,0,
11,-0.35787879263844224,-1.36590725182321,0,0,
12,-0.4366264124729058,1.5003546599431876,0,0,
13,-0.36319176638479117,0.6279079415238846,0,0,
14,0.08711529745112684,0.5446112315863978,0,0,
15,-0.1242510281504001,-1.11956237598948,0,0,
16,-0.6574892202668133,-0.8620749500709414,0,0,
17,-0.6582894798818708,0.203548834333793,0,0,
18,-0.19969064713560136,-0.9786813271568631,0,0,
19,0.20698499890187955,0.44522490190149744,0,0,
20,0.6108056712856549,1.0279270919285057,0,0,
21,0.834566078413223,-0.3572152768673093,1,0,
22,0.40420503982047273,1.267273275287091,0,0,
23,0.07327171716748421,-0.8793186382992186,0,0,
24,0.33721942511624836,0.4762852809022902,0,0,
25,0.5950049889814896,0.5713137087434643,0,0,
26,0.6449152212994672,-1.2958155753433471,0,0,
