Time,Speed_z,BoundaryDensity_z,GradBoundary,EventBoundary,RollingCorr_60s
0,-0.6771115616543186,-0.5381382120767423,0,0,
1,-0.7107407432367313,-1.0177378644907822,0,0,
2,-0.539861447441368,-0.5874646288794373,0,0,
3,-0.1593743081837521,1.4750705098477686,0,0,
4,0.42057729612463773,0.9855059091600907,0,0,
5,0.5213858410130191,-0.45211028178809537,0,0,
6,0.01707668962116546,3.031371996527994,0,1,
7,-0.3371656150279414,0.2913129050896701,0,0,
8,-0.1394763306575531,-0.8362427491980167,0,0,
9,0.43631103491224493,-0.8866806394205048,0,0,
10,0.6009066241949095,-0.5486791269226666,1,0,
11,0.18540376655930108,-1.0201736591242307,0,0,
12,0.31355481259376855,0.008255753858375061,0,0,
13,0.36961461617925895,1.0788861142689206,0,0,
14,-0.1346030956757457,0.010218224040231871,0,0,
15,-0.0804694245865134,-0.961956412839455,0,0,
16,0.21378843823717486,-0.6607151267990125,0,0,
17,-0.21705888747194713,-0.22529545404461318,0,0,
18,-0.7099433133309225,-0.4589530413271638,0,0,
19,-0.49994986882319875,1.6772613959939817,0,1,
20,-0.305677939990348,-0.43888320649678814,0,0,
21,-0.37506463693019715,-0.81804683490615,0,0,
22,-0.39525807556007625,0.2000234794100976,0,0,
23,0.023888965355617936,-0.8112268604374074,0,0,
24,0.5419161960417569,1.644281365181342,0,0,
25,0.7879624398654,-0.10613611836534365,1,0,
26,0.8493685278723513,-0.03374743626206334,1,0,
