Time,Speed_z,BoundaryDensity_z,GradBoundary,EventBoundary,RollingCorr_60s
0,1.5237219771954196,-0.6228629206796399,1,0,
1,1.5522749327924887,0.6347392943940019,1,0,
2,1.1330074650270556,2.43053392492675,1,1,
3,0.4252291006054474,-0.8683510169251851,0,0,
4,0.3303215019866973,-0.005852201798651485,0,0,
5,0.6744885337552281,0.29768439174413397,0,0,
6,0.6868891170164947,-0.7136867617282472,0,0,
7,0.2773660196672504,-1.054224876154258,0,0,
8,-0.25189877861490695,-0.9854457088065738,0,0,
9,-0.32465110880156356,-0.6007088227768198,0,0,
10,-0.21929320717860507,0.16570045559881946,0,0,
11,-0.3383165992856265,1.4166102587129328,0,0,
12,-0.5763784927348894,2.377142174561546,0,1,
13,-0.7015507755874429,0.42260556958690154,0,0,
14,-0.36134541412081644,0.6602247851728684,0,0,
15,-0.18919730210649172,1.6313159705038514,0,0,
16,-0.42730014979267894,-0.49586684097446715,0,0,
17,-0.7226530623714997,-0.7573062277513167,0,0,
18,-0.710303527260451,-0.631979065854745,0,0,
19,-0.3010305929348398,-0.9609910480035723,0,0,
20,0.1553126994849104,-1.0627568604300663,0,0,
21,0.29025165019994836,0.5625302291395133,0,0,
22,0.1199156091728974,-0.15028950702025964,0,0,
23,-0.03093831742344816,-0.903291422893281,0,0,
24,-0.10619517306889181,0.5019692710797473,0,0,
25,-0.6924460242376869,-0.7817519985995705,0,0,
26,-1.2152800813839881,-0.5056910450244116,0,0,
