Time,Speed_z,BoundaryDensity_z,GradBoundary,EventBoundary,RollingCorr_60s
0,0.2449153358844286,0.023772665503598796,0,0,
1,-0.3905479086199089,0.2547093051690481,0,0,
2,-0.648962149082056,0.0829919737424526,0,0,
3,-0.647071222236055,0.33625009069134326,0,0,
4,-0.52935856051533,1.622573271772346,0,0,
5,-0.03951589763756862,-0.6492827649226667,0,0,
6,0.5523552023030935,-0.9002847081942184,0,0,
7,0.8837700558245294,-0.829257921867325,1,0,
8,0.8158147768651303,1.1029626511045256,1,0,
9,0.534662643673582,0.1661150278829175,0,0,
10,0.08583193099981012,0.16395339970686576,0,0,
11,-0.7517405355253399,0.1342288988039024,0,0,
12,-0.8755578761866254,-0.7308041378313859,0,0,
13,-0.41980340103939695,0.9393530091022144,0,0,
14,-0.06367307353627423,3.4711974443282947,0,1,
15,0.058765457269630825,0.7266992774075316,0,0,
16,-0.003991460468419694,0.09894774220054908,0,0,
17,-0.15560257251557116,1.5462372970548557,0,0,
18,-0.3504120285862491,1.4370645040999015,0,0,
19,-0.43326698105211314,-0.7378444517949669,0,0,
20,-0.2872670487816559,-0.7626037992781151,0,0,
21,0.3584246054754815,-0.44454533003419044,0,0,
22,0.8835278632436716,-0.7822797515343297,1,0,
23,0.7624393123141646,-0.8220042992579234,1,0,
24,0.7087791403240109,-0.7677791805213943,0,0,
25,0.5952598750204955,-0.8793181426446944,0,0,
26,0.47759009457650736,-0.17149075101514505,0,0,
27,0.34921532059427385,1.2662999678291864,0,0,
28,-0.03695388910712119,-0.22748151587663282,0,0,
29,-0.28578435724481843,-0.4521711331776688,0,0,
30,-0.36356132951226805,-0.6558425121787989,0,0,
31,-0.4175396102156348,-0.879900855180766,0,0,
32,-0.30410540545572384,-0.6166247528944279,0,0,
33,0.06565888130633588,-0.9481767386910199,0,0,
34,0.28026396402569176,-0.9483589792312848,0,0,
35,0.28375096212302414,-0.6394306335245884,0,0,
36,0.25606599362838783,-0.6245186133806976,0,0,
37,-0.3273315667103216,1.9388713268463524,0,1,
38,-0.8650445414237957,-0.8422268802136441,0,0,
