time,grad_speed_z,event_density_z,grad_boundary,event_boundary,rolling_corr_60s
0,-0.5420203199235019,-0.7955759329546073,0,0,
1,-0.6222980255397169,-0.8201380341518706,0,0,
2,-0.7879018991583764,-0.8829018797463503,0,0,
3,-1.0312456479957985,-0.9582193729024461,0,0,
4,-1.310345599012064,-1.020647781821245,0,0,
5,-1.5446526504790994,-1.0546292104997381,0,0,
6,-1.6350747654386946,-1.0542156481965559,0,0,
7,-1.5014472555830094,-1.0188257363422473,0,0,
8,-1.120802811534133,-0.9526221499839614,0,0,
9,-0.5461050928866817,-0.8675206533286478,0,0,
10,0.10316629825119085,-0.782828288626367,0,0,
11,0.6756813209812704,-0.7171832290800366,0,0,
12,1.038198789557261,-0.6789613960095985,0,0,
13,1.120590885548499,-0.6659257728634893,0,0,
14,0.9373400507704136,-0.6747251331465071,0,0,
15,0.5772642378390672,-0.7078339750737738,0,0,
16,0.1655108861112244,-0.7686062100970875,0,0,
17,-0.1829206004948879,-0.8512119031441917,0,0,
18,-0.3998222625547486,-0.9389726958390257,0,0,
19,-0.4744927400029635,-1.013562623280136,0,0,
20,-0.43907281306157503,-1.0650827843411943,0,0,
21,-0.34179290265778467,-1.0942223599513885,0,0,
22,-0.22088983708057297,-1.107318274548362,0,0,
23,-0.09615141402285712,-1.110223824843195,0,0,
24,0.023740835275842403,-1.1047009320319765,0,0,
25,0.12995811452913286,-1.0875714204325782,0,0,
26,0.2096930235915175,-1.052273765149214,0,0,
27,0.25879007909972734,-0.9931535126233594,0,0,
28,0.298855994637884,-0.9111029469759755,0,0,
29,0.37900752582901337,-0.815157987468988,0,0,
30,0.5515036510371757,-0.7145083748323142,0,0,
31,0.8321939040717503,-0.6043457786083065,0,0,
32,1.1765671665541901,-0.45991992886660865,0,0,
33,1.4934203554105323,-0.24971189149346473,1,0,
34,1.6905625771051034,0.04172093659335887,1,0,
35,1.7226396647043631,0.4045934948285932,1,0,
36,1.6081956915150986,0.8167573947755228,1,0,
37,1.4059387654995963,1.2570823288019863,1,0,
38,1.172107329348333,1.6942006253836575,0,0,
39,0.9312987442072466,2.0610465355831264,0,0,
40,0.6753022092111282,2.2574572050236656,0,1,
41,0.38487483462237165,2.202369619180926,0,1,
42,0.05292018159638262,1.9015117880937848,0,0,
43,-0.30334538460231,1.4742778842019275,0,0,
44,-0.6446772629632169,1.1188231061484326,0,0,
45,-0.9191186996366858,1.0369865517409358,0,0,
46,-1.0740733068530477,1.348215739913658,0,0,
47,-1.0707751307853375,2.017283032073289,0,0,
48,-0.8985169741420197,2.834436383172225,0,1,
49,-0.5860218690872286,3.488427943643631,0,1,
50,-0.20152058113351923,3.7163508267575005,0,1,
51,0.16388789875713458,3.4347752839600183,0,1,
52,0.4220852575568605,2.75555354628594,0,1,
53,0.5147278961004199,1.8901144603565403,0,0,
54,0.42929655095540636,1.0365531073445058,0,0,
55,0.20323639603530622,0.32564516179710656,0,0,
56,-0.0822952672101545,-0.17785124407595837,0,0,
57,-0.32108803379321527,-0.45795487476118557,0,0,
58,-0.41367847431753935,-0.5302403808657076,0,0,
59,-0.3066144359710214,-0.4198544900068932,0,0,0.12809926527594484
60,-0.024256700846037215,-0.14185598592101611,0,0,0.1215845758281322
61,0.3327947040872238,0.2947302648956572,0,0,0.11382283292266251
62,0.6275944236106936,0.8540763799606488,0,0,0.10712689138976436
63,0.7487686920931789,1.4424720706562577,0,0,0.10077089651290529
64,0.6572047236672329,1.9204825125726124,0,0,0.08853787809589202
65,0.3914811847613276,2.163977498088704,0,1,0.06245311337173786
66,0.030615677815144713,2.1309004868507015,0,1,0.019323013571514697
67,-0.35348100331861043,1.8820453837979252,0,0,-0.03489404821113385
