Time,Speed_z,BoundaryDensity_z,GradBoundary,EventBoundary,RollingCorr_60s
0,0.38653482562047287,1.1444152292742757,0,0,
1,0.005301533913886158,1.1954317452621739,0,0,
2,-0.5055577477973059,-0.29560985014971763,0,0,
3,-0.8672464037889541,-1.105035792582684,0,0,
4,-0.7772724538135265,-0.7690948287875106,0,0,
5,-0.4666113751741875,-0.07860335223815515,0,0,
6,-0.404545056686257,1.0573866308709325,0,0,
7,-0.5586158357187107,-1.1310753774430662,0,0,
8,-0.35345267173630435,-0.8988319788163946,0,0,
9,0.22422538604673029,-1.0615514673875435,0,0,
10,0.661939037574885,-0.7015255800707227,0,0,
11,0.8620604856200729,-0.7161806511845878,0,0,
12,0.9709034544381131,1.5017515685509863,1,0,
13,0.6213101996907008,0.2840252213802776,0,0,
14,-0.14488587293785987,2.548564686813826,0,1,
15,-0.4229178650901749,-0.11966355672294607,0,0,
16,-0.30047698135226636,-0.6873946079530081,0,0,
17,-0.602071348551011,-0.5464169858570807,0,0,
18,-0.6591282476322932,0.619890451132028,0,0,
19,-0.4186314499612812,-0.7033959467940246,0,0,
20,-0.4636011298926426,-0.4371903222318341,0,0,
21,-0.18936157959762423,-0.9666796474967371,0,0,
22,0.032478155346879284,-0.24933503777285013,0,0,
23,0.12627824466394746,1.4492875752457637,0,0,
24,0.5765014366704768,1.6467258329535097,0,1,
25,1.1789969541487406,-0.6353585562662348,1,0,
26,1.4878463059955047,-0.3445354017286783,1,0,
