PCA,video,event_index,within_mean,across_mean,z,p,n_pairs
Mean_PCA_4,Movie Task-lms,2,-0.11038299805779532,0.5429276782241266,-8.568443911622934,0.0,15
Mean_PCA_4,Movie Task-lms,3,1.0,-0.008512580620087199,2.190566231707414,0.0,3
Mean_PCA_4,Movie Task-lms,4,0.262772160785393,-0.5752733170439891,5.326760246357879,0.0,1
Mean_PCA_4,Movie Task-lms,5,-1.0,-0.2414326157402041,-4.3511029971604245,0.0,1
Mean_PCA_4,Movie Task-lms,6,0.0204749367951726,-0.21396725641388384,1.878364516412937,0.0,1
Mean_PCA_4,Movie Task-lms,7,-0.21410309377702794,0.15329082921473042,-1.583786093295472,0.114,6
Mean_PCA_4,Movie Task-lms,8,-0.18966682860362602,0.2337644138286116,-2.1174901737624077,0.026000000000000002,6
Mean_PCA_4,Movie Task-lms,10,0.18305602824717115,-0.16505060118452922,2.3759124802550984,0.0,3
Mean_PCA_4,Movie Task-lms,11,0.03390611883302651,-0.3154197189903801,4.050728017390818,0.0,15
Mean_PCA_4,Movie Task-lms,12,0.6954767985654388,-0.29090191091331574,6.91618122398729,0.0,3
Mean_PCA_4,Movie Task-lms,13,0.2697400370415787,0.2282204967088058,0.1690728162074333,0.8959999999999999,3
