video,r_obs,p_perm
12 years_6m.mp4,0.004656168875581677,0.4905094905094905
Movie Task-summer,0.06276783139790659,0.2917082917082917
back to the future_6m.mp4,-0.1545656190540075,0.7232767232767233
Movie Task-c4,0.11259857177443441,0.0969030969030969
Movie Task-lms,-0.0016641591861610043,0.5084915084915085
the_prestige_6m.mp4,0.19610568420665792,0.23976023976023977
pulp_fiction_6m.mp4,-0.27063677165993627,0.8691308691308691
shawshank clip_6m.mp4,-0.12089303440255836,0.6923076923076923
