Run_time,Mean_PCA_1,Mean_PCA_2,Mean_PCA_3,Mean_PCA_4,Mean_PCA_5
75,0.5577471070666667,0.18968863986666668,-0.6939162051333334,0.6830118982666666,-0.14522040226666666
90,0.908588897125,-0.064607310625,-0.7021441738749999,-0.028495861374999987,0.239674598625
105,0.23050883078571432,0.31955556135714286,-0.38237136257142856,-0.22377793350000003,-0.6732723223571428
120,0.2601718550666667,-0.08806859320000002,-0.09604109693333332,-0.13372493879999997,-0.27948387913333333
135,0.02085500799999999,-0.027424814066666654,-0.5427236848,0.17437605986666668,0.06990061593333333
150,0.237457786,0.1571100495714286,-0.9796754812857144,-0.6033558231428572,-0.06736949857142857
165,0.4894975696,-0.22210715806666667,0.0005098012666666578,0.24149390086666667,-0.14463858500000001
180,0.15991703706666666,-0.1750140417333333,-0.196800522,0.22547579186666666,-0.3091696809333333
195,-0.07459188133333335,0.029610596599999983,-0.15912221033333335,-0.09160730686666665,-0.19992269126666665
210,0.5733136891428572,0.08916458071428572,-0.02777949314285714,0.3766803596428572,-0.4404123675
225,0.11384031026666666,-0.05963143859999999,0.28407203000000003,0.40417128739999997,-0.09812849840000001
240,-0.1749876702,-0.04226826060000004,-0.4834387886666667,0.8369708544666667,-0.15029025586666667
255,0.007599991799999995,-0.23812386986666667,-0.5045896400000001,-0.0928240352,-0.3293877062
270,0.4815883405,-0.26164843375,0.1209065964375,0.2636505065625,0.0027902036874999994
285,-0.17722785966666665,-0.03814823246666667,-0.3595500068666667,0.14692257533333336,-0.3726082746
300,0.10685736535714287,-0.4558146537857143,0.2387622277142857,0.15909497085714283,-0.2072716995
315,0.37307842446666667,0.49684450880000003,-0.027467724799999996,-0.41532560160000004,-0.3545708406
330,0.4697817178,-0.38836415799999996,-0.1343012882,0.20370648813333334,-0.14220875606666666
345,0.36259611371428563,-0.17698627528571426,-0.14817238407142858,-0.4566186312857142,-0.49842760942857145
360,0.6086925416666666,-0.07754397100000003,0.23080851786666667,-0.2284307068666667,-0.3350705664
375,0.08378923213333334,-0.42128277773333334,-0.07665267453333334,0.5508377149333333,0.18030973086666666
390,0.11162411946666664,0.005007549333333335,-0.37596062486666665,-0.029876929799999993,-0.03680082199999999
405,0.15019267192857141,-0.0038606465000000207,0.010014348071428576,-0.027263340642857157,-0.5189021085
420,0.39323735312499997,-0.14700016225,0.326613450625,-0.17486484556249998,-0.6455039045625
435,0.2513601169333333,-0.2752400238,0.4932910218666667,0.17943406013333335,-0.5704844591999999
450,1.0082893522,0.2150034076,-0.09942803513333333,-0.029134220066666643,-0.22291804173333332
465,0.2233154157857143,-0.46296157428571433,-0.05879526621428572,0.06517767692857143,-0.39602846257142854
480,0.6229008789999999,-0.09692910133333336,-0.0047285227999999905,-0.13489543873333337,0.041206388600000005
495,0.5639834138666667,0.21768795859999998,0.14245428566666668,0.10329274966666667,-0.12439957713333334
510,0.774461488,-0.10574139599999999,-0.08493429233333336,0.05990177573333334,-0.3134716598666667
525,0.5430762851428571,0.009016978857142841,-0.43338514899999997,-0.09329957650000005,-0.4954203342857143
540,0.277321389875,-0.1838482658125,-0.2902249690625,0.12570252381250002,-0.0878257790625
555,0.5408884138571428,-0.5602708476428572,0.0489723615,0.47309862292857147,-0.5363372384285714
570,0.7518754039333333,-0.2928894822,0.08445182353333332,0.6317347618000001,-0.5894314398
585,0.3106096116666667,-0.13623034766666667,0.13303288646666667,-0.10972951986666667,-0.37267322053333335
600,0.5214717984,-0.30734522006666665,-0.04727981066666667,0.21482786780000002,-0.39050624780000004
615,0.8468332561333334,0.0013937792000000115,0.3540359749333334,-0.20939905793333327,-0.20679678513333336
630,0.32417216373333335,0.10693455793333333,-0.44126651559999996,0.414804457,-0.1006146734
645,0.18203882760000004,-0.2287524838666667,-0.2752596206,-0.07288931746666667,-0.6755233621333333
660,0.8963134834,0.4492747488,0.016450368000000007,-0.27309323346666664,-0.22411658373333332
675,0.20250801110084035,-0.22902605042016808,-0.04804452946218487,-0.03274136242857143,-0.451159723605042
