Run_time,Mean_PCA_1,Mean_PCA_2,Mean_PCA_3,Mean_PCA_4,Mean_PCA_5
60,0.7732382088333334,-0.4962658499166666,0.060946259999999995,0.07570730674999998,-0.5978704186666667
70,-0.004634243416666628,0.389676019,-0.4664283003333334,-0.38039467266666666,-0.02308429983333334
80,-0.4721054228333333,-0.35485543541666664,0.4861837213333333,-0.08435543291666665,-0.29004806883333334
90,-0.7027249365833335,0.27968690175,0.16677105033333336,-0.25827765708333333,-0.6919254656666666
100,0.3091028790833333,0.1138066075,0.2595865005833334,-0.00440506875,-0.3191290305
110,-0.250513616,0.40704048791666664,0.045044122666666665,-0.5390884268333334,-1.1155799976666667
120,-0.7607225805833333,0.08705717691666665,0.41618415458333335,-0.17906416925000002,-1.09878959225
130,0.039495577181818176,0.07357704354545454,0.1889842219090909,0.24103628754545461,-0.7832592891818181
140,-0.34127806116666665,0.26535362,-0.2651237573333333,-0.16573927750000003,-0.7667591415833334
150,-0.5549874779166667,0.4215326951666667,0.25931021883333333,0.04726925366666664,-0.9601219479166666
160,-0.6036127268333332,0.3951243913333333,-0.12531812558333336,-0.43899643191666665,-0.98346008925
170,-0.1297684190833333,0.38186533758333335,0.24686290925,-0.7286617985,-1.04490339475
180,0.010971612499999997,0.27822301774999997,-0.4053655541666667,-0.014153453333333343,-0.884327671
190,0.03630327772727271,0.1203562301818182,0.3999576887272728,-0.13547894427272725,-0.47821989254545455
200,-0.04363110608333335,0.017051901500000004,-0.3995969709166667,-0.15875030100000004,-1.0146282575833332
210,-0.2504336384166666,0.15367797125000004,0.10949222341666669,0.67752794825,-1.0073950821666666
220,-0.5263518799166667,0.07820665333333335,0.2008303006666667,-0.33762245924999995,-0.6801844782500001
230,0.17399613358333332,-0.17042378525,0.4386414174166666,0.29212243516666664,-0.49179439641666667
240,-0.43197161608333334,0.1360614794166667,0.2988305253333333,-0.3573262268333333,-0.5224132724166667
250,-0.3576874355,0.12822009516666663,0.4371472035833333,-0.36855816941666664,-0.48968395825000005
260,-0.23900932558333332,0.44062108824999996,-0.079735309,-0.1233006815,-0.565702917
270,-0.6184908018333334,-0.07081786225000002,0.4353499355833333,0.4699984323333333,-1.4475946171666667
280,-0.7801679685833333,-0.18355515049999996,0.13156701891666667,0.33528028758333334,-1.0250151421666667
290,-0.10854674866666665,0.09140967933333334,-0.13007448233333332,0.019053811083333334,-0.8541560918333334
300,-0.42999098354545456,-0.2010155092727273,0.2089795208181818,-0.043495096999999976,-0.8917633944545454
310,-0.5139953216666666,0.3540565793333333,-0.057865053666666666,-0.20228957049999996,-0.6047443855
320,0.4131592465,0.20404786,0.28992901916666663,0.45884467075,-0.5687317120000001
