Run_time,Mean_PCA_1,Mean_PCA_2,Mean_PCA_3,Mean_PCA_4,Mean_PCA_5
60,0.16707182508333332,0.2164518845,-0.577009637,-0.08810535033333332,0.10176731916666669
70,-0.3416477844166666,-0.3332172409166667,0.210783519,-0.4057285709166667,0.44019915558333333
80,-0.07967270016666668,-0.04338145016666664,-0.16152945708333336,0.20228573283333331,-0.07960699408333335
90,0.6941634071666667,-0.24162292316666667,-0.31303017541666667,-0.007499811416666641,0.5305172005
100,0.05688825441666667,-0.30100901550000003,0.23398291466666665,0.08763795016666666,0.35526318349999997
110,0.19682325025,0.15642915983333333,-0.06793692341666667,-0.15254365324999997,-0.198293817
120,0.07837527999999998,-0.22933980345454544,0.4027861598181817,0.20216586309090906,0.2392951709090909
130,-0.4345587500833333,0.47626561633333336,-0.20327823324999997,0.10557782816666667,0.4689940476666667
140,0.6365051595833333,0.3858789685,-0.010286974166666662,0.010754646999999977,-0.1269061718333334
150,-0.012392091499999999,0.09279008750000002,-0.5361391414166666,-0.030425996250000007,-0.24183088808333333
160,0.6047610745,-0.23442101283333336,-0.7872959248333333,0.002756834750000011,-0.06697077866666669
170,-0.017983540500000016,-0.1648092588333333,-0.31647960174999995,-0.40366179950000003,0.24537849458333336
180,-0.23879455858333332,-0.2357873335833333,-0.4496275111666667,0.7417277835,-0.12638996358333335
190,-0.39925252958333335,0.10654493291666667,-0.5275185129166667,0.01627191741666667,0.2535637375
200,-0.37677454124999993,0.031083058166666646,-0.65086599675,-0.1476730188333333,0.22108844891666668
210,0.0032175999999999923,0.18047921845454543,-0.4112058634545455,0.12917706090909092,0.18475531118181818
220,0.7942100892499999,0.7517902295000001,-0.7334689376666667,0.008521596083333334,-0.3427710251666667
230,-0.3214969149166667,-0.05062229174999999,-0.17008709091666666,0.2629651290833333,0.291850285
240,0.8530878984166668,-0.28125777258333334,-0.7498767444166666,0.1559928681666667,-0.09950104125000002
250,0.2234128759166667,-0.17805142183333333,0.14041557,-0.2012240870833333,0.10067129708333335
260,-0.07989258216666666,-0.07989549641666666,0.12564464549999999,-0.11471057466666672,-0.007281038166666663
270,0.12570156600000001,0.08544175083333333,-0.33616905849999995,-0.16886801191666667,-0.24766561900000003
280,0.31612518045454546,0.06305109300000002,0.026050206545454566,0.23569547127272727,0.20092232227272727
290,0.15183911966666666,-0.3602017465833333,-0.4768256336666667,0.12574665241666666,0.18110606183333333
300,-0.25306694291666665,0.28313423200000004,-0.09571819516666663,-0.05379592324999999,0.32798915833333336
310,0.35093071875,0.4378804383333334,-0.64660351375,0.20924086541666667,-0.07505061566666665
320,-0.4153801574166667,-0.031599497916666684,-0.3046883816666667,0.33657254799999997,0.49904398875
